(1, '63.95', '63.95', '64.85', '64.85', 'Wed, 29 Oct 2008 19:15:31', '733344.80244757456')
(2, '64.17', '64.17', '64.85', '64.85', 'Wed, 29 Oct 2008 19:16:01', '733344.80279738945')
(3, '64.17', '64.17', '64.85', '64.85', 'Wed, 29 Oct 2008 19:16:31', '733344.80314715777')
(4, '63.95', '63.95', '64.85', '64.85', 'Wed, 29 Oct 2008 19:17:02', '733344.80349692621')
(5, '64.17', '64.17', '64.85', '64.85', 'Wed, 29 Oct 2008 19:17:32', '733344.80384674121')
(6, '63.95', '63.95', '64.85', '64.85', 'Wed, 29 Oct 2008 19:18:02', '733344.80419650965')
(7, '64.17', '64.17', '64.85', '64.85', 'Wed, 29 Oct 2008 19:18:32', '733344.80454627809')
(8, '63.95', '63.95', '64.85', '64.85', 'Wed, 29 Oct 2008 19:19:03', '733344.80489609297')
(9, '63.95', '63.95', '64.85', '64.85', 'Wed, 29 Oct 2008 19:19:33', '733344.80524586176')
(10, '63.95', '63.95', '64.85', '64.85', 'Wed, 29 Oct 2008 19:20:03', '733344.80559563031')
(11, '64.17', '64.17', '64.85', '64.85', 'Wed, 29 Oct 2008 19:23:23', '733344.80790789856')
(12, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:23:53', '733344.80825771345')
(13, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 19:24:23', '733344.80860748200')
(14, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:24:53', '733344.80895725032')
(15, '64.17', '64.17', '65.07', '65.07', 'Wed, 29 Oct 2008 19:25:24', '733344.80930706509')
(16, '64.17', '64.17', '65.30', '65.30', 'Wed, 29 Oct 2008 19:25:54', '733344.80965683341')
(17, '64.17', '64.17', '65.30', '65.30', 'Wed, 29 Oct 2008 19:26:24', '733344.81000660220')
(18, '64.17', '64.17', '65.30', '69.31', 'Wed, 29 Oct 2008 19:26:54', '733344.81035641686')
(19, '64.17', '64.17', '65.30', '70.68', 'Wed, 29 Oct 2008 19:27:25', '733344.81070618541')
(20, '64.17', '64.17', '65.30', '71.37', 'Wed, 29 Oct 2008 19:27:55', '733344.81105595408')
(21, '64.17', '64.17', '65.30', '71.37', 'Wed, 29 Oct 2008 19:28:27', '733344.81142465770')
(22, '64.17', '64.17', '65.30', '69.31', 'Wed, 29 Oct 2008 19:28:57', '733344.81177442614')
(23, '64.17', '64.17', '65.30', '67.95', 'Wed, 29 Oct 2008 19:29:27', '733344.81212424138')
(24, '64.17', '64.17', '65.30', '67.28', 'Wed, 29 Oct 2008 19:29:57', '733344.81247400970')
(25, '64.17', '64.17', '65.30', '65.91', 'Wed, 29 Oct 2008 19:30:27', '733344.81282377813')
(26, '64.17', '64.17', '65.30', '65.91', 'Wed, 29 Oct 2008 19:30:58', '733344.81317359291')
