Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(0, '77.90', '207.01', 'Mon, 19 May 2008 08:22:09', '733181.34871608648')
(1, '77.67', '206.78', 'Mon, 19 May 2008 08:22:12', '733181.34875087545')
(2, '77.90', '206.31', 'Mon, 19 May 2008 08:22:15', '733181.34878549026')
(3, '77.90', '207.01', 'Mon, 19 May 2008 08:22:18', '733181.34882027970')
(4, '77.90', '207.01', 'Mon, 19 May 2008 08:22:21', '733181.34885508008')
(5, '77.67', '207.46', 'Mon, 19 May 2008 08:22:24', '733181.34888968477')
(6, '77.67', '207.46', 'Mon, 19 May 2008 08:22:27', '733181.34892448410')
(7, '77.90', '207.01', 'Mon, 19 May 2008 08:22:30', '733181.34896019846')
(8, '77.90', '207.01', 'Mon, 19 May 2008 08:22:33', '733181.34899481537')
(9, '77.90', '207.70', 'Mon, 19 May 2008 08:22:36', '733181.34902960353')
(10, '77.67', '207.46', 'Mon, 19 May 2008 08:22:39', '733181.34906440333')
(11, '77.90', '207.70', 'Mon, 19 May 2008 08:22:42', '733181.34909900720')
(12, '77.90', '207.70', 'Mon, 19 May 2008 08:22:45', '733181.34913380747')
(13, '77.67', '208.17', 'Mon, 19 May 2008 08:22:48', '733181.34916841157')
(14, '77.90', '207.70', 'Mon, 19 May 2008 08:22:51', '733181.34920320113')
(15, '77.90', '208.38', 'Mon, 19 May 2008 08:22:54', '733181.34923800128')
(16, '77.90', '208.38', 'Mon, 19 May 2008 08:22:57', '733181.34927260503')
(17, '77.90', '208.38', 'Mon, 19 May 2008 08:23:00', '733181.34930740565')
(18, '77.90', '208.38', 'Mon, 19 May 2008 08:23:03', '733181.34934200952')
(19, '77.90', '208.38', 'Mon, 19 May 2008 08:23:06', '733181.34937681002')
(20, '77.90', '209.08', 'Mon, 19 May 2008 08:23:09', '733181.34941159899')
(21, '77.90', '209.08', 'Mon, 19 May 2008 08:23:12', '733181.34944621404')
(22, '77.90', '209.08', 'Mon, 19 May 2008 08:23:15', '733181.34948100324')
(23, '77.90', '209.08', 'Mon, 19 May 2008 08:23:18', '733181.34951580362')
(24, '77.90', '209.08', 'Mon, 19 May 2008 08:23:21', '733181.34955040785')
(25, '77.90', '209.08', 'Mon, 19 May 2008 08:23:24', '733181.34958520893')
(26, '77.90', '209.08', 'Mon, 19 May 2008 08:23:27', '733181.34961981152')
(27, '77.90', '209.08', 'Mon, 19 May 2008 08:23:30', '733181.34965461353')
(28, '77.90', '209.08', 'Mon, 19 May 2008 08:23:33', '733181.34968940169')
(29, '77.90', '209.79', 'Mon, 19 May 2008 08:23:36', '733181.34972401720')
(30, '77.90', '210.47', 'Mon, 19 May 2008 08:23:39', '733181.34975880606')
(31, '77.90', '209.79', 'Mon, 19 May 2008 08:23:42', '733181.34979342157')
(32, '77.90', '209.79', 'Mon, 19 May 2008 08:23:45', '733181.34982821019')
(33, '77.90', '209.08', 'Mon, 19 May 2008 08:23:48', '733181.34986301244')
(34, '77.90', '209.79', 'Mon, 19 May 2008 08:23:51', '733181.34989761515')
(35, '77.90', '209.79', 'Mon, 19 May 2008 08:23:54', '733181.34993240365')
(36, '78.12', '210.69', 'Mon, 19 May 2008 08:23:57', '733181.34996701893')
(37, '78.12', '210.69', 'Mon, 19 May 2008 08:24:00', '733181.35000180826')
(38, '78.12', '210.69', 'Mon, 19 May 2008 08:24:03', '733181.35003660806')
(39, '77.90', '210.47', 'Mon, 19 May 2008 08:24:06', '733181.35007121321')
(40, '77.90', '210.47', 'Mon, 19 May 2008 08:24:09', '733181.35010601277')
(41, '77.90', '210.47', 'Mon, 19 May 2008 08:24:12', '733181.35014061700')
(42, '77.90', '210.47', 'Mon, 19 May 2008 08:24:15', '733181.35017541668')
(43, '78.12', '210.69', 'Mon, 19 May 2008 08:24:18', '733181.35021020658')
(44, '78.12', '210.69', 'Mon, 19 May 2008 08:24:21', '733181.35024482140')
(45, '78.12', '211.37', 'Mon, 19 May 2008 08:24:24', '733181.35027961084')
(46, '78.12', '211.37', 'Mon, 19 May 2008 08:24:27', '733181.35031441040')
