Log Date and Time Fri, 27 Mar 2009 17:36:10
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:39:46', '733493.52761684416')
(1, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:39:56', '733493.52773254050')
(2, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:40:06', '733493.52784828132')
(3, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:40:16', '733493.52796397614')
(4, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:40:26', '733493.52807985549')
(5, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:40:36', '733493.52819554880')
(6, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:40:46', '733493.52831124363')
(7, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:40:56', '733493.52842693799')
(8, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:41:06', '733493.52854267904')
(9, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:41:16', '733493.52865855850')
(10, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:41:26', '733493.52877425321')
(11, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:41:36', '733493.52888994769')
(12, '73.8', '72.3', '73.8', 'Fri, 27 Mar 2009 12:41:46', '733493.52900564158')
(13, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:41:56', '733493.52912133629')
(14, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:42:06', '733493.52923726221')
(15, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:42:16', '733493.52935295680')
(16, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:42:26', '733493.52946865105')
(17, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:42:36', '733493.52958434564')
(18, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:42:46', '733493.52970022534')
(19, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:42:56', '733493.52981591981')
(20, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:43:06', '733493.52993166028')
(21, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:43:16', '733493.53004735510')
(22, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:43:26', '733493.53016304958')
(23, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:43:36', '733493.53027892893')
(24, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:43:46', '733493.53039462341')
(25, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:43:56', '733493.53051036433')
(26, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:44:06', '733493.53062606498')
(27, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:44:16', '733493.53074175306')
(28, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:44:26', '733493.53085763298')
(29, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:44:36', '733493.53097332711')
(30, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:44:46', '733493.53108902159')
(31, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:44:56', '733493.53120476287')
(32, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:45:06', '733493.53132045676')
(33, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:45:16', '733493.53143633634')
(34, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:45:26', '733493.53155203082')
(35, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:45:36', '733493.53166772530')
(36, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:45:46', '733493.53178346611')
(37, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:45:56', '733493.53189916047')
(38, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:46:06', '733493.53201504028')
(39, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:46:16', '733493.53213073453')
(40, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:46:26', '733493.53224642912')
(41, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:46:36', '733493.53236212337')
(42, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:46:46', '733493.53247804928')
(43, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:46:56', '733493.53259374399')
(44, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:47:06', '733493.53270943835')
(45, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:47:16', '733493.53282513260')
(46, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:47:26', '733493.53294082719')
(47, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:47:36', '733493.53305675299')
(48, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:47:46', '733493.53317244851')
(49, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:47:56', '733493.53328814183')
(50, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:48:06', '733493.53340383654')
(51, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:48:16', '733493.53351971612')
(52, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:48:26', '733493.53363545670')
(53, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:48:36', '733493.53375115129')
(54, '73.8', '72.3', '73.8', 'Fri, 27 Mar 2009 12:48:46', '733493.53386684565')
(55, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:48:56', '733493.53398254013')
(56, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:49:06', '733493.53409841971')
(57, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:49:16', '733493.53421411430')
(58, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:49:26', '733493.53432985558')
(59, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:49:36', '733493.53444554924')
(60, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 12:49:46', '733493.53456124372')
(61, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 12:49:56', '733493.53467712342')
