Log Date and Time Sat, 11 Apr 2009 09:18:50
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '570.4', '32.0', 'Fri, 10 Apr 2009 10:21:46', '733507.43178818526')
(1, '32.0', '571.3', '32.0', 'Fri, 10 Apr 2009 10:22:16', '733507.43213536299')
(2, '32.0', '572.5', '32.0', 'Fri, 10 Apr 2009 10:22:46', '733507.43248258496')
(3, '32.0', '573.4', '32.0', 'Fri, 10 Apr 2009 10:23:16', '733507.43282976141')
(4, '32.0', '574.7', '32.0', 'Fri, 10 Apr 2009 10:23:46', '733507.43317694322')
(5, '32.0', '576.1', '32.0', 'Fri, 10 Apr 2009 10:24:16', '733507.43352417159')
(6, '32.0', '576.1', '32.0', 'Fri, 10 Apr 2009 10:24:46', '733507.43387152068')
(7, '32.0', '577.5', '32.0', 'Fri, 10 Apr 2009 10:25:16', '733507.43421869643')
(8, '32.0', '577.9', '32.0', 'Fri, 10 Apr 2009 10:25:46', '733507.43456591887')
(9, '32.0', '579.5', '32.0', 'Fri, 10 Apr 2009 10:26:16', '733507.43491310219')
(10, '32.0', '580.9', '32.0', 'Fri, 10 Apr 2009 10:26:46', '733507.43526027014')
(11, '32.0', '581.6', '32.0', 'Fri, 10 Apr 2009 10:27:16', '733507.43560749246')
(12, '32.0', '582.9', '32.0', 'Fri, 10 Apr 2009 10:27:46', '733507.43595485401')
(13, '32.0', '583.6', '32.0', 'Fri, 10 Apr 2009 10:28:16', '733507.43630203139')
(14, '32.0', '584.3', '32.0', 'Fri, 10 Apr 2009 10:28:46', '733507.43664926267')
(15, '32.0', '585.6', '32.0', 'Fri, 10 Apr 2009 10:29:16', '733507.43699642818')
(16, '32.0', '586.3', '32.0', 'Fri, 10 Apr 2009 10:29:46', '733507.43734364968')
(17, '32.0', '587.0', '32.0', 'Fri, 10 Apr 2009 10:30:16', '733507.43769082555')
(18, '32.0', '588.4', '32.0', 'Fri, 10 Apr 2009 10:30:46', '733507.43803819455')
