Log Date and Time Fri, 07 Nov 2008 08:26:51
Ambient Kiln Date Date2Num

(0, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:25', '733352.34821123700')
(1, '64.62', '64.62', 'Thu, 06 Nov 2008 08:21:28', '733352.34824602655')
(2, '64.62', '64.62', 'Thu, 06 Nov 2008 08:21:31', '733352.34828064172')
(3, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:34', '733352.34831543092')
(4, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:37', '733352.34835023084')
(5, '64.62', '64.62', 'Thu, 06 Nov 2008 08:21:40', '733352.34838483518')
(6, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:43', '733352.34841963497')
(7, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:46', '733352.34845442441')
(8, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:49', '733352.34848903958')
(9, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:52', '733352.34852382913')
(10, '64.40', '64.40', 'Thu, 06 Nov 2008 08:21:55', '733352.34855862986')
(11, '64.62', '64.62', 'Thu, 06 Nov 2008 08:21:58', '733352.34859323292')
(12, '64.62', '64.62', 'Thu, 06 Nov 2008 08:22:01', '733352.34862802201')
(13, '64.40', '64.40', 'Thu, 06 Nov 2008 08:22:04', '733352.34866263741')
(14, '64.40', '64.40', 'Thu, 06 Nov 2008 08:22:07', '733352.34869742638')
(15, '64.62', '64.62', 'Thu, 06 Nov 2008 08:22:10', '733352.34873222676')
(16, '64.62', '64.62', 'Thu, 06 Nov 2008 08:22:13', '733352.34876683075')
(17, '64.40', '64.40', 'Thu, 06 Nov 2008 08:22:16', '733352.34880163090')
(18, '64.62', '64.62', 'Thu, 06 Nov 2008 08:22:19', '733352.34883623489')
(19, '64.40', '64.40', 'Thu, 06 Nov 2008 08:22:22', '733352.34887103620')
(20, '64.40', '65.03', 'Thu, 06 Nov 2008 08:22:25', '733352.34890582459')
(21, '64.62', '64.62', 'Thu, 06 Nov 2008 08:22:28', '733352.34894044034')
(22, '64.62', '65.25', 'Thu, 06 Nov 2008 08:22:31', '733352.34897522884')
(23, '64.40', '65.03', 'Thu, 06 Nov 2008 08:22:34', '733352.34900984459')
(24, '64.40', '66.40', 'Thu, 06 Nov 2008 08:22:37', '733352.34904463310')
(25, '64.40', '65.71', 'Thu, 06 Nov 2008 08:22:40', '733352.34907943383')
(26, '64.40', '65.71', 'Thu, 06 Nov 2008 08:22:43', '733352.34911403747')
(27, '64.40', '66.40', 'Thu, 06 Nov 2008 08:22:46', '733352.34914883820')
(28, '64.40', '65.71', 'Thu, 06 Nov 2008 08:22:49', '733352.34918344242')
(29, '64.40', '67.08', 'Thu, 06 Nov 2008 08:22:52', '733352.34921824280')
(30, '64.40', '67.08', 'Thu, 06 Nov 2008 08:22:55', '733352.34925303189')
(31, '64.62', '66.60', 'Thu, 06 Nov 2008 08:22:58', '733352.34928764671')
(32, '64.40', '67.75', 'Thu, 06 Nov 2008 08:23:01', '733352.34932243591')
