Log Date and Time Tue, 27 Nov 2012 22:43:26
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '52.9', '100.1', '106.0', 'Mon, 26 Nov 2012 22:00:29', '734833.91700271529')
(1, '52.9', '100.4', '106.7', 'Mon, 26 Nov 2012 22:00:59', '734833.91735129943')
(2, '52.9', '101.0', '106.7', 'Mon, 26 Nov 2012 22:01:29', '734833.91769853374')
(3, '52.9', '100.8', '106.7', 'Mon, 26 Nov 2012 22:01:59', '734833.91804574430')
(4, '52.9', '101.0', '106.7', 'Mon, 26 Nov 2012 22:02:29', '734833.91839300236')
(5, '52.9', '101.0', '106.7', 'Mon, 26 Nov 2012 22:02:59', '734833.91874023760')
(6, '52.9', '100.4', '106.7', 'Mon, 26 Nov 2012 22:03:29', '734833.91908765503')
(7, '52.9', '101.0', '106.7', 'Mon, 26 Nov 2012 22:03:59', '734833.91943518980')
(8, '52.7', '101.0', '107.2', 'Mon, 26 Nov 2012 22:04:29', '734833.91978271259')
(9, '52.9', '101.0', '106.7', 'Mon, 26 Nov 2012 22:04:59', '734833.92013020127')
(10, '52.9', '101.7', '107.3', 'Mon, 26 Nov 2012 22:05:29', '734833.92047747015')
(11, '52.9', '101.7', '107.3', 'Mon, 26 Nov 2012 22:05:59', '734833.92082501668')
(12, '52.9', '101.7', '108.0', 'Mon, 26 Nov 2012 22:06:29', '734833.92117240105')
(13, '52.9', '101.0', '107.3', 'Mon, 26 Nov 2012 22:06:59', '734833.92151992419')
(14, '52.9', '101.7', '107.3', 'Mon, 26 Nov 2012 22:07:29', '734833.92186717154')
(15, '52.9', '101.7', '108.0', 'Mon, 26 Nov 2012 22:07:59', '734833.92221450992')
(16, '52.9', '101.7', '107.3', 'Mon, 26 Nov 2012 22:08:29', '734833.92256176623')
(17, '52.9', '102.4', '107.3', 'Mon, 26 Nov 2012 22:08:59', '734833.92290906818')
(18, '52.9', '102.4', '108.0', 'Mon, 26 Nov 2012 22:09:29', '734833.92325644114')
(19, '52.9', '102.4', '108.0', 'Mon, 26 Nov 2012 22:09:59', '734833.92360397580')
(20, '52.9', '101.7', '108.0', 'Mon, 26 Nov 2012 22:10:29', '734833.92395124561')
(21, '52.9', '102.4', '107.3', 'Mon, 26 Nov 2012 22:10:59', '734833.92429855897')
(22, '52.9', '102.2', '108.0', 'Mon, 26 Nov 2012 22:11:29', '734833.92464609363')
(23, '52.9', '102.2', '108.0', 'Mon, 26 Nov 2012 22:11:59', '734833.92499359429')
(24, '52.9', '103.1', '108.0', 'Mon, 26 Nov 2012 22:12:29', '734833.92534112907')
(25, '52.9', '102.2', '108.0', 'Mon, 26 Nov 2012 22:12:59', '734833.92568865232')
(26, '52.9', '103.1', '108.7', 'Mon, 26 Nov 2012 22:13:29', '734833.92603616382')
(27, '52.9', '102.9', '108.7', 'Mon, 26 Nov 2012 22:13:59', '734833.92638368730')
(28, '52.7', '102.9', '108.5', 'Mon, 26 Nov 2012 22:14:29', '734833.92673122184')
(29, '52.7', '102.9', '108.5', 'Mon, 26 Nov 2012 22:14:59', '734833.92707874533')
