Log Date and Time Thu, 20 Mar 2008 16:41:50
Ambient Kiln Date Date2Num

(0, '71.37', '71.37', 'Thu, 20 Mar 2008 15:48:55', '733121.66071946477')
(1, '71.37', '71.37', 'Thu, 20 Mar 2008 15:48:58', '733121.66075426282')
(2, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:01', '733121.66078907286')
(3, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:04', '733121.66082386952')
(4, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:07', '733121.66085867991')
(5, '71.60', '71.37', 'Thu, 20 Mar 2008 15:49:10', '733121.66089329100')
(6, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:13', '733121.66092809080')
(7, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:16', '733121.66096289782')
(8, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:19', '733121.66099769692')
(9, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:22', '733121.66103253025')
(10, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:25', '733121.66106730350')
(11, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:28', '733121.66110192833')
(12, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:31', '733121.66113672429')
(13, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:34', '733121.66117154714')
(14, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:37', '733121.66120633110')
(15, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:40', '733121.66124095523')
(16, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:43', '733121.66127575468')
(17, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:46', '733121.66131056240')
(18, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:49', '733121.66134536033')
(19, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:52', '733121.66138015722')
(20, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:55', '733121.66141496680')
(21, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:58', '733121.66144957871')
(22, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:01', '733121.66148438863')
(23, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:04', '733121.66151918692')
(24, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:07', '733121.66155399580')
(25, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:10', '733121.66158879234')
(26, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:13', '733121.66162360297')
(27, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:16', '733121.66165821406')
(28, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:19', '733121.66169302375')
(29, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:22', '733121.66172782204')
(30, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:25', '733121.66176262998')
(31, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:28', '733121.66179742769')
(32, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:31', '733121.66183222609')
(33, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:34', '733121.66186703474')
(34, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:37', '733121.66190164769')
(35, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:40', '733121.66193645692')
(36, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:43', '733121.66197125462')
(37, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:46', '733121.66200606758')
(38, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:49', '733121.66204086132')
(39, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:52', '733121.66207567125')
(40, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:55', '733121.66211028816')
(41, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:58', '733121.66214509192')
