Log Date and Time Sun, 05 Apr 2009 12:28:00
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '119.3', '2124.7', '2072.3', 'Sat, 04 Apr 2009 21:28:59', '733501.91249749751')
(1, '32.0', '2137.9', '2074.8', 'Sat, 04 Apr 2009 21:29:59', '733501.91319204471')
(2, '119.5', '2136.1', '2088.9', 'Sat, 04 Apr 2009 21:30:59', '733501.91388639633')
(3, '119.3', '2130.6', '2092.9', 'Sat, 04 Apr 2009 21:31:59', '733501.91458097927')
(4, '119.3', '2123.7', '2082.7', 'Sat, 04 Apr 2009 21:32:59', '733501.91527533066')
(5, '119.1', '2119.9', '2084.1', 'Sat, 04 Apr 2009 21:33:59', '733501.91596991522')
(6, '118.8', '2113.3', '2077.1', 'Sat, 04 Apr 2009 21:34:59', '733501.91666426684')
(7, '118.6', '2108.3', '2071.8', 'Sat, 04 Apr 2009 21:35:59', '733501.91735861788')
(8, '117.7', '2109.0', '2071.1', 'Sat, 04 Apr 2009 21:36:59', '733501.91805320291')
(9, '117.7', '2122.7', '2077.3', 'Sat, 04 Apr 2009 21:37:59', '733501.91874755279')
(10, '117.5', '2125.7', '2073.8', 'Sat, 04 Apr 2009 21:38:59', '733501.91944213619')
(11, '117.7', '2135.4', '2089.1', 'Sat, 04 Apr 2009 21:39:59', '733501.92013648804')
(12, '118.2', '2129.8', '2091.4', 'Sat, 04 Apr 2009 21:40:59', '733501.92083088669')
(13, '118.2', '2122.7', '2086.2', 'Sat, 04 Apr 2009 21:41:59', '733501.92152542353')
(14, '118.4', '2117.9', '2086.9', 'Sat, 04 Apr 2009 21:42:59', '733501.92221982183')
(15, '118.8', '2113.4', '2081.4', 'Sat, 04 Apr 2009 21:43:59', '733501.92291417310')
(16, '118.6', '2106.0', '2073.1', 'Sat, 04 Apr 2009 21:44:59', '733501.92360871111')
(17, '117.7', '2103.5', '2068.8', 'Sat, 04 Apr 2009 21:45:59', '733501.92430310929')
(18, '117.7', '2113.3', '2072.1', 'Sat, 04 Apr 2009 21:46:59', '733501.92499769269')
(19, '117.3', '2111.8', '2072.1', 'Sat, 04 Apr 2009 21:47:59', '733501.92569204455')
(20, '117.0', '2105.0', '2068.1', 'Sat, 04 Apr 2009 21:48:59', '733501.92638639617')
(21, '118.0', '2108.6', '2067.8', 'Sat, 04 Apr 2009 21:49:59', '733501.92708097992')
(22, '117.7', '2124.2', '2074.1', 'Sat, 04 Apr 2009 21:50:59', '733501.92777533084')
(23, '117.7', '2130.8', '2077.8', 'Sat, 04 Apr 2009 21:51:59', '733501.92846991378')
