Log Date and Time Sun, 01 Aug 2010 15:01:39
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '2168.2', '32.0', 'Sun, 01 Aug 2010 14:18:37', '733985.59626517654')
(1, '32.0', '2173.6', '32.0', 'Sun, 01 Aug 2010 14:19:07', '733985.59661205253')
(2, '32.0', '2168.5', '32.0', 'Sun, 01 Aug 2010 14:19:37', '733985.59695942339')
(3, '32.0', '2169.8', '32.0', 'Sun, 01 Aug 2010 14:20:07', '733985.59730658960')
(4, '32.0', '2170.5', '32.0', 'Sun, 01 Aug 2010 14:20:37', '733985.59765395056')
(5, '32.0', '2167.2', '32.0', 'Sun, 01 Aug 2010 14:21:07', '733985.59800112667')
(6, '32.0', '2158.3', '32.0', 'Sun, 01 Aug 2010 14:21:37', '733985.59834848763')
(7, '32.0', '2143.5', '32.0', 'Sun, 01 Aug 2010 14:22:07', '733985.59869566350')
(8, '32.0', '2147.3', '32.0', 'Sun, 01 Aug 2010 14:22:37', '733985.59904302505')
(9, '32.0', '2142.0', '32.0', 'Sun, 01 Aug 2010 14:23:07', '733985.59939020080')
(10, '32.0', '2138.4', '32.0', 'Sun, 01 Aug 2010 14:23:37', '733985.59973756177')
(11, '32.0', '2139.2', '32.0', 'Sun, 01 Aug 2010 14:24:07', '733985.60008473822')
(12, '32.0', '2142.0', '32.0', 'Sun, 01 Aug 2010 14:24:37', '733985.60043209919')
(13, '32.0', '2141.0', '32.0', 'Sun, 01 Aug 2010 14:25:07', '733985.60077927506')
(14, '32.0', '2138.7', '32.0', 'Sun, 01 Aug 2010 14:25:37', '733985.60112663591')
(15, '32.0', '2127.3', '32.0', 'Sun, 01 Aug 2010 14:26:07', '733985.60147381213')
(16, '32.0', '2157.8', '32.0', 'Sun, 01 Aug 2010 14:26:37', '733985.60182117310')
(17, '32.0', '2151.7', '32.0', 'Sun, 01 Aug 2010 14:27:07', '733985.60216834932')
(18, '32.0', '2158.8', '32.0', 'Sun, 01 Aug 2010 14:27:37', '733985.60251571052')
(19, '32.0', '2155.5', '32.0', 'Sun, 01 Aug 2010 14:28:07', '733985.60286302539')
(20, '32.0', '2157.3', '32.0', 'Sun, 01 Aug 2010 14:28:37', '733985.60321020253')
(21, '32.0', '2160.3', '32.0', 'Sun, 01 Aug 2010 14:29:07', '733985.60355756187')
(22, '32.0', '2148.6', '32.0', 'Sun, 01 Aug 2010 14:29:37', '733985.60390473751')
(23, '32.0', '2132.3', '32.0', 'Sun, 01 Aug 2010 14:30:07', '733985.60425209894')
(24, '32.0', '2149.6', '32.0', 'Sun, 01 Aug 2010 14:30:37', '733985.60459927469')
(25, '32.0', '2142.8', '32.0', 'Sun, 01 Aug 2010 14:31:07', '733985.60494663601')
(26, '32.0', '2134.1', '32.0', 'Sun, 01 Aug 2010 14:31:37', '733985.60529381200')
(27, '32.0', '2133.1', '32.0', 'Sun, 01 Aug 2010 14:32:07', '733985.60564117297')
(28, '32.0', '2139.7', '32.0', 'Sun, 01 Aug 2010 14:32:37', '733985.60598834872')
(29, '32.0', '2141.0', '32.0', 'Sun, 01 Aug 2010 14:33:07', '733985.60633571004')
(30, '32.0', '2147.9', '32.0', 'Sun, 01 Aug 2010 14:33:37', '733985.60668288602')
(31, '32.0', '2139.7', '32.0', 'Sun, 01 Aug 2010 14:34:07', '733985.60703024687')
(32, '32.0', '2132.9', '32.0', 'Sun, 01 Aug 2010 14:34:37', '733985.60737742297')
(33, '32.0', '2134.6', '32.0', 'Sun, 01 Aug 2010 14:35:07', '733985.60772478406')
(34, '32.0', '2137.9', '32.0', 'Sun, 01 Aug 2010 14:35:37', '733985.60807196016')
(35, '32.0', '2134.6', '32.0', 'Sun, 01 Aug 2010 14:36:07', '733985.60841927491')
(36, '32.0', '2137.9', '32.0', 'Sun, 01 Aug 2010 14:36:37', '733985.60876645078')
(37, '32.0', '2135.2', '32.0', 'Sun, 01 Aug 2010 14:37:07', '733985.60911381186')
(38, '32.0', '2128.6', '32.0', 'Sun, 01 Aug 2010 14:37:37', '733985.60946098773')
(39, '32.0', '2129.6', '32.0', 'Sun, 01 Aug 2010 14:38:07', '733985.60980834882')
(40, '32.0', '2123.7', '32.0', 'Sun, 01 Aug 2010 14:38:37', '733985.61015552480')
(41, '32.0', '2126.3', '32.0', 'Sun, 01 Aug 2010 14:39:07', '733985.61050288577')
(42, '32.0', '2135.7', '32.0', 'Sun, 01 Aug 2010 14:39:37', '733985.61085006199')
(43, '32.0', '2128.8', '32.0', 'Sun, 01 Aug 2010 14:40:07', '733985.61119742307')
(44, '32.0', '2129.8', '32.0', 'Sun, 01 Aug 2010 14:40:37', '733985.61154459894')
(45, '32.0', '2134.4', '32.0', 'Sun, 01 Aug 2010 14:41:07', '733985.61189196003')
