Log Date and Time Tue, 31 Mar 2009 16:21:47
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:54:29', '733496.91284070781')
(1, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:54:39', '733496.91295670345')
(2, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:54:49', '733496.91307213204')
(3, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:54:59', '733496.91318809171')
(4, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:55:09', '733496.91330379480')
(5, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:55:19', '733496.91341968195')
(6, '64.2', '62.8', '136.8', 'Mon, 30 Mar 2009 21:55:29', '733496.91353538225')
(7, '64.2', '212.8', '184.4', 'Mon, 30 Mar 2009 21:55:39', '733496.91365126916')
(8, '64.2', '176.1', '151.2', 'Mon, 30 Mar 2009 21:55:49', '733496.91376697121')
(9, '64.2', '150.6', '132.6', 'Mon, 30 Mar 2009 21:55:59', '733496.91388285777')
(10, '64.2', '132.7', '118.9', 'Mon, 30 Mar 2009 21:56:09', '733496.91399855935')
(11, '64.2', '120.3', '109.3', 'Mon, 30 Mar 2009 21:56:19', '733496.91411444603')
(12, '64.2', '110.0', '102.4', 'Mon, 30 Mar 2009 21:56:29', '733496.91423014796')
(13, '64.2', '103.1', '97.6', 'Mon, 30 Mar 2009 21:56:39', '733496.91434603487')
(14, '64.2', '97.0', '92.8', 'Mon, 30 Mar 2009 21:56:49', '733496.91446173633')
(15, '64.2', '92.2', '88.7', 'Mon, 30 Mar 2009 21:56:59', '733496.91457762336')
(16, '64.2', '88.1', '86.0', 'Mon, 30 Mar 2009 21:57:09', '733496.91469332506')
(17, '64.2', '84.7', '83.9', 'Mon, 30 Mar 2009 21:57:19', '733496.91480921139')
(18, '64.2', '82.6', '80.5', 'Mon, 30 Mar 2009 21:57:29', '733496.91492491367')
(19, '64.2', '80.5', '79.8', 'Mon, 30 Mar 2009 21:57:39', '733496.91504080093')
(20, '64.2', '77.8', '78.5', 'Mon, 30 Mar 2009 21:57:49', '733496.91515650193')
(21, '64.2', '76.5', '76.4', 'Mon, 30 Mar 2009 21:57:59', '733496.91527238872')
(22, '64.2', '75.1', '74.4', 'Mon, 30 Mar 2009 21:58:09', '733496.91538809089')
(23, '64.2', '73.0', '74.4', 'Mon, 30 Mar 2009 21:58:19', '733496.91550397710')
(24, '64.2', '71.7', '72.3', 'Mon, 30 Mar 2009 21:58:29', '733496.91561967926')
(25, '64.2', '71.0', '71.6', 'Mon, 30 Mar 2009 21:58:39', '733496.91573556617')
(26, '64.2', '70.3', '70.9', 'Mon, 30 Mar 2009 21:58:49', '733496.91585126764')
(27, '64.2', '68.9', '70.2', 'Mon, 30 Mar 2009 21:58:59', '733496.91596715443')
(28, '64.2', '67.6', '70.2', 'Mon, 30 Mar 2009 21:59:09', '733496.91608285601')
