Log Date and Time Thu, 20 Mar 2008 15:37:44
Ambient Kiln Date Date2Num

(0, '71.37', '71.37', 'Thu, 20 Mar 2008 15:33:33', '733121.64830665919')
(1, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:36', '733121.64834127051')
(2, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:39', '733121.64837607951')
(3, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:42', '733121.64841087826')
(4, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:45', '733121.64844568644')
(5, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:48', '733121.64848030545')
(6, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:51', '733121.64851510886')
(7, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:54', '733121.64854990563')
(8, '71.60', '71.60', 'Thu, 20 Mar 2008 15:33:57', '733121.64858470357')
(9, '71.60', '71.60', 'Thu, 20 Mar 2008 15:34:00', '733121.64861951256')
(10, '71.60', '71.60', 'Thu, 20 Mar 2008 15:34:03', '733121.64865444519')
(11, '71.60', '71.60', 'Thu, 20 Mar 2008 15:34:06', '733121.64868911938')
(12, '71.60', '71.60', 'Thu, 20 Mar 2008 15:34:09', '733121.64872391801')
(13, '71.60', '74.12', 'Thu, 20 Mar 2008 15:34:12', '733121.64875854133')
(14, '71.60', '91.22', 'Thu, 20 Mar 2008 15:34:15', '733121.64879333868')
(15, '71.37', '90.99', 'Thu, 20 Mar 2008 15:34:18', '733121.64882818074')
(16, '71.60', '90.54', 'Thu, 20 Mar 2008 15:34:21', '733121.64886294573')
(17, '71.60', '91.90', 'Thu, 20 Mar 2008 15:34:24', '733121.64889775496')
(18, '71.60', '91.22', 'Thu, 20 Mar 2008 15:34:27', '733121.64893255231')
(19, '71.37', '90.99', 'Thu, 20 Mar 2008 15:34:30', '733121.64896736282')
(20, '71.60', '91.22', 'Thu, 20 Mar 2008 15:34:33', '733121.64900216961')
(21, '71.37', '92.35', 'Thu, 20 Mar 2008 15:34:36', '733121.64903695707')
(22, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:39', '733121.64907176699')
(23, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:42', '733121.64910643094')
(24, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:45', '733121.64914118836')
(25, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:48', '733121.64917598583')
(26, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:51', '733121.64921079483')
(27, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:54', '733121.64924559195')
(28, '71.60', '92.59', 'Thu, 20 Mar 2008 15:34:57', '733121.64928040106')
(29, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:00', '733121.64931501378')
(30, '71.37', '92.35', 'Thu, 20 Mar 2008 15:35:03', '733121.64934982930')
(31, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:06', '733121.64938462176')
(32, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:09', '733121.64941960154')
(33, '71.60', '93.27', 'Thu, 20 Mar 2008 15:35:12', '733121.64945422951')
(34, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:15', '733121.64948902465')
(35, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:18', '733121.64952370489')
(36, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:21', '733121.64955844742')
(37, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:24', '733121.64959327457')
(38, '71.37', '92.35', 'Thu, 20 Mar 2008 15:35:27', '733121.64962805307')
(39, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:30', '733121.64966290910')
(40, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:33', '733121.64969765954')
(41, '71.60', '92.59', 'Thu, 20 Mar 2008 15:35:36', '733121.64973246958')
(42, '71.37', '93.04', 'Thu, 20 Mar 2008 15:35:39', '733121.64976726728')
(43, '71.60', '93.27', 'Thu, 20 Mar 2008 15:35:42', '733121.64980210538')
(44, '71.37', '92.35', 'Thu, 20 Mar 2008 15:35:45', '733121.64983668958')
(45, '71.37', '92.35', 'Thu, 20 Mar 2008 15:35:48', '733121.64987148670')
(46, '71.37', '92.35', 'Thu, 20 Mar 2008 15:35:51', '733121.64990629558')
(47, '71.60', '71.60', 'Thu, 20 Mar 2008 15:35:54', '733121.64994109294')
(48, '71.60', '71.60', 'Thu, 20 Mar 2008 15:35:57', '733121.64997590217')
(49, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:00', '733121.65001073643')
(50, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:03', '733121.65004555054')
(51, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:06', '733121.65008031088')
(52, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:09', '733121.65011493163')
(53, '71.60', '71.60', 'Thu, 20 Mar 2008 15:36:12', '733121.65014972840')
(54, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:15', '733121.65018453752')
(55, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:18', '733121.65021933510')
(56, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:21', '733121.65025413316')
(57, '71.37', '71.37', 'Thu, 20 Mar 2008 15:36:24', '733121.65028894285')
