Log Date and Time Fri, 05 Jun 2009 22:24:30
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '1005.4', '32.0', 'Thu, 04 Jun 2009 14:20:38', '733562.59767307900')
(1, '32.0', '742.5', '32.0', 'Thu, 04 Jun 2009 14:21:08', '733562.59801984648')
(2, '32.0', '744.5', '32.0', 'Thu, 04 Jun 2009 14:21:38', '733562.59836720757')
(3, '32.0', '745.4', '32.0', 'Thu, 04 Jun 2009 14:22:08', '733562.59871438378')
(4, '32.0', '746.7', '32.0', 'Thu, 04 Jun 2009 14:22:38', '733562.59906174475')
(5, '32.0', '747.4', '32.0', 'Thu, 04 Jun 2009 14:23:08', '733562.59940892051')
(6, '32.0', '748.5', '32.0', 'Thu, 04 Jun 2009 14:23:38', '733562.59975628182')
(7, '32.0', '814.8', '32.0', 'Thu, 04 Jun 2009 14:24:08', '733562.60010345804')
(8, '32.0', '751.4', '32.0', 'Thu, 04 Jun 2009 14:24:38', '733562.60045081889')
(9, '32.0', '752.0', '32.0', 'Thu, 04 Jun 2009 14:25:08', '733562.60079799476')
(10, '32.0', '753.4', '32.0', 'Thu, 04 Jun 2009 14:25:38', '733562.60114535596')
(11, '32.0', '754.1', '32.0', 'Thu, 04 Jun 2009 14:26:08', '733562.60149248550')
(12, '32.0', '755.6', '32.0', 'Thu, 04 Jun 2009 14:26:38', '733562.60183984670')
(13, '32.0', '756.0', '32.0', 'Thu, 04 Jun 2009 14:27:08', '733562.60218702280')
(14, '32.0', '758.0', '32.0', 'Thu, 04 Jun 2009 14:27:38', '733562.60253438400')
(15, '32.0', '758.7', '32.0', 'Thu, 04 Jun 2009 14:28:08', '733562.60288155987')
(16, '32.0', '760.3', '32.0', 'Thu, 04 Jun 2009 14:28:38', '733562.60322892095')
(17, '32.0', '760.0', '32.0', 'Thu, 04 Jun 2009 14:29:08', '733562.60357609752')
(18, '32.0', '762.0', '32.0', 'Thu, 04 Jun 2009 14:29:38', '733562.60392345861')
(19, '32.0', '762.3', '32.0', 'Thu, 04 Jun 2009 14:30:08', '733562.60427063459')
(20, '32.0', '764.3', '32.0', 'Thu, 04 Jun 2009 14:30:38', '733562.60461799544')
(21, '32.0', '764.7', '32.0', 'Thu, 04 Jun 2009 14:31:08', '733562.60496517119')
(22, '32.0', '766.3', '32.0', 'Thu, 04 Jun 2009 14:31:39', '733562.60531253205')
(23, '32.0', '766.9', '32.0', 'Thu, 04 Jun 2009 14:32:08', '733562.60565970803')
(24, '32.0', '768.3', '32.0', 'Thu, 04 Jun 2009 14:32:39', '733562.60600707482')
(25, '32.0', '769.6', '32.0', 'Thu, 04 Jun 2009 14:33:09', '733562.60635425104')
(26, '32.0', '770.3', '32.0', 'Thu, 04 Jun 2009 14:33:39', '733562.60670160677')
(27, '32.0', '771.6', '32.0', 'Thu, 04 Jun 2009 14:34:09', '733562.60704896785')
(28, '32.0', '772.2', '32.0', 'Thu, 04 Jun 2009 14:34:39', '733562.60739609750')
(29, '32.0', '772.9', '32.0', 'Thu, 04 Jun 2009 14:35:09', '733562.60774345871')
(30, '32.0', '774.2', '32.0', 'Thu, 04 Jun 2009 14:35:39', '733562.60809063399')
(31, '32.0', '774.9', '32.0', 'Thu, 04 Jun 2009 14:36:09', '733562.60843799508')
(32, '32.0', '776.2', '32.0', 'Thu, 04 Jun 2009 14:36:39', '733562.60878517095')
(33, '32.0', '776.9', '32.0', 'Thu, 04 Jun 2009 14:37:09', '733562.60913253203')
(34, '32.0', '732.7', '32.0', 'Thu, 04 Jun 2009 14:37:39', '733562.60947970790')
(35, '32.0', '79.9', '32.0', 'Thu, 04 Jun 2009 14:38:09', '733562.60982706805')
(36, '32.0', '780.7', '32.0', 'Thu, 04 Jun 2009 14:38:39', '733562.61017424520')
(37, '32.0', '781.1', '32.0', 'Thu, 04 Jun 2009 14:39:09', '733562.61052160605')
(38, '32.0', '80.2', '32.0', 'Thu, 04 Jun 2009 14:39:39', '733562.61086878064')
(39, '32.0', '783.8', '32.0', 'Thu, 04 Jun 2009 14:40:09', '733562.61121614312')
(40, '32.0', '784.5', '32.0', 'Thu, 04 Jun 2009 14:40:39', '733562.61156331887')
(41, '32.0', '785.1', '32.0', 'Thu, 04 Jun 2009 14:41:09', '733562.61191063374')
(42, '32.0', '786.5', '32.0', 'Thu, 04 Jun 2009 14:41:39', '733562.61225780961')
(43, '32.0', '787.1', '32.0', 'Thu, 04 Jun 2009 14:42:09', '733562.61260517093')
(44, '32.0', '789.1', '32.0', 'Thu, 04 Jun 2009 14:42:39', '733562.61295234668')
(45, '32.0', '789.8', '32.0', 'Thu, 04 Jun 2009 14:43:09', '733562.61329970800')
(46, '32.0', '791.1', '32.0', 'Thu, 04 Jun 2009 14:43:39', '733562.61364688375')
(47, '32.0', '792.4', '32.0', 'Thu, 04 Jun 2009 14:44:09', '733562.61399424495')
(48, '32.0', '793.1', '32.0', 'Thu, 04 Jun 2009 14:44:39', '733562.61434142082')
(49, '32.0', '793.8', '32.0', 'Thu, 04 Jun 2009 14:45:09', '733562.61468878237')
(50, '32.0', '795.1', '32.0', 'Thu, 04 Jun 2009 14:45:39', '733562.61503595777')
(51, '32.0', '795.8', '32.0', 'Thu, 04 Jun 2009 14:46:09', '733562.61538331886')
(52, '32.0', '796.4', '32.0', 'Thu, 04 Jun 2009 14:46:39', '733562.61573049496')
(53, '32.0', '798.0', '32.0', 'Thu, 04 Jun 2009 14:47:09', '733562.61607785604')
(54, '32.0', '798.4', '32.0', 'Thu, 04 Jun 2009 14:47:39', '733562.61642503191')
(55, '32.0', '800.0', '32.0', 'Thu, 04 Jun 2009 14:48:09', '733562.61677239311')
(56, '32.0', '801.1', '32.0', 'Thu, 04 Jun 2009 14:48:39', '733562.61711956898')
(57, '32.0', '802.0', '32.0', 'Thu, 04 Jun 2009 14:49:09', '733562.61746692995')
(58, '32.0', '802.6', '32.0', 'Thu, 04 Jun 2009 14:49:39', '733562.61781429127')
(59, '32.0', '803.3', '32.0', 'Thu, 04 Jun 2009 14:50:09', '733562.61816142080')
(60, '32.0', '804.4', '32.0', 'Thu, 04 Jun 2009 14:50:39', '733562.61850878200')
(61, '32.0', '805.9', '32.0', 'Thu, 04 Jun 2009 14:51:09', '733562.61885595822')
(62, '32.0', '806.6', '32.0', 'Thu, 04 Jun 2009 14:51:39', '733562.61920313409')
(63, '32.0', '807.3', '32.0', 'Thu, 04 Jun 2009 14:52:09', '733562.61955049494')
(64, '32.0', '807.9', '32.0', 'Thu, 04 Jun 2009 14:52:39', '733562.61989767093')
(65, '32.0', '809.3', '32.0', 'Thu, 04 Jun 2009 14:53:09', '733562.62024503213')
(66, '32.0', '809.9', '32.0', 'Thu, 04 Jun 2009 14:53:39', '733562.62059220788')
(67, '32.0', '810.6', '32.0', 'Thu, 04 Jun 2009 14:54:09', '733562.62093956897')
(68, '32.0', '812.1', '32.0', 'Thu, 04 Jun 2009 14:54:39', '733562.62128674495')
(69, '32.0', '813.2', '32.0', 'Thu, 04 Jun 2009 14:55:09', '733562.62163410708')
(70, '32.0', '814.1', '32.0', 'Thu, 04 Jun 2009 14:55:39', '733562.62198128225')
(71, '32.0', '815.2', '32.0', 'Thu, 04 Jun 2009 14:56:09', '733562.62232864334')
(72, '32.0', '816.1', '32.0', 'Thu, 04 Jun 2009 14:56:39', '733562.62267578079')
(73, '32.0', '816.8', '32.0', 'Thu, 04 Jun 2009 14:57:09', '733562.62302313361')
(74, '32.0', '817.4', '32.0', 'Thu, 04 Jun 2009 14:57:39', '733562.62337049481')
(75, '32.0', '818.1', '32.0', 'Thu, 04 Jun 2009 14:58:09', '733562.62371767068')
(76, '32.0', '819.4', '32.0', 'Thu, 04 Jun 2009 14:58:39', '733562.62406503176')
(77, '32.0', '820.8', '32.0', 'Thu, 04 Jun 2009 14:59:09', '733562.62441220798')
(78, '32.0', '821.4', '32.0', 'Thu, 04 Jun 2009 14:59:39', '733562.62475956895')
(79, '32.0', '822.1', '32.0', 'Thu, 04 Jun 2009 15:00:09', '733562.62510674493')
(80, '32.0', '823.4', '32.0', 'Thu, 04 Jun 2009 15:00:39', '733562.62545410602')
(81, '32.0', '824.1', '32.0', 'Thu, 04 Jun 2009 15:01:09', '733562.62580128200')
(82, '32.0', '824.7', '32.0', 'Thu, 04 Jun 2009 15:01:39', '733562.62614864297')
(83, '32.0', '826.1', '32.0', 'Thu, 04 Jun 2009 15:02:09', '733562.62649581907')
(84, '32.0', '829.4', '32.0', 'Thu, 04 Jun 2009 15:02:39', '733562.62684318004')
(85, '32.0', '80.8', '32.0', 'Thu, 04 Jun 2009 15:03:09', '733562.62719035463')
(86, '32.0', '836.2', '32.0', 'Thu, 04 Jun 2009 15:03:39', '733562.62753771699')
(87, '32.0', '838.9', '32.0', 'Thu, 04 Jun 2009 15:04:09', '733562.62788489310')
(88, '32.0', '842.2', '32.0', 'Thu, 04 Jun 2009 15:04:39', '733562.62823225395')
(89, '32.0', '844.2', '32.0', 'Thu, 04 Jun 2009 15:05:09', '733562.62857943005')
(90, '32.0', '846.8', '32.0', 'Thu, 04 Jun 2009 15:05:39', '733562.62892674480')
(91, '32.0', '848.8', '32.0', 'Thu, 04 Jun 2009 15:06:09', '733562.62927392090')
(92, '32.0', '850.8', '32.0', 'Thu, 04 Jun 2009 15:06:39', '733562.62962128187')
(93, '32.0', '852.7', '32.0', 'Thu, 04 Jun 2009 15:07:09', '733562.62996864296')
(94, '32.0', '854.7', '32.0', 'Thu, 04 Jun 2009 15:07:39', '733562.63031581929')
(95, '32.0', '856.1', '32.0', 'Thu, 04 Jun 2009 15:08:09', '733562.63066318003')
