Log Date and Time Tue, 05 Aug 2008 08:19:22
Ambient Kiln Date Date2Num

(0, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:00', '733258.58333628008')
(1, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:03', '733258.58337091201')
(2, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:06', '733258.58340571867')
(3, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:09', '733258.58344035153')
(4, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:12', '733258.58347515739')
(5, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:15', '733258.58350979048')
(6, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:18', '733258.58354459668')
(7, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:21', '733258.58357922966')
(8, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:24', '733258.58361403563')
(9, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:27', '733258.58364866883')
(10, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:30', '733258.58368347504')
(11, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:33', '733258.58371810813')
(12, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:36', '733258.58375291398')
(13, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:39', '733258.58378754708')
(14, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:42', '733258.58382235304')
(15, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:45', '733258.58385698625')
(16, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:48', '733258.58389179199')
(17, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:51', '733258.58392642532')
(18, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:54', '733258.58396123082')
(19, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:57', '733258.58399585250')
(20, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:00', '733258.58403067011')
(21, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:03', '733258.58406529156')
(22, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:06', '733258.58410010918')
(23, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:09', '733258.58413473074')
(24, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:12', '733258.58416954835')
(25, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:15', '733258.58420417027')
(26, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:18', '733258.58423898765')
