Log Date and Time Thu, 07 Aug 2008 19:15:03
Ambient Kiln Date Date2Num

(0, '85.55', '86.50', 'Wed, 06 Aug 2008 17:24:59', '733260.72568620439')
(1, '85.55', '86.50', 'Wed, 06 Aug 2008 17:25:02', '733260.72572064039')
(2, '85.77', '88.09', 'Wed, 06 Aug 2008 17:25:12', '733260.72584285075')
(3, '85.55', '87.87', 'Wed, 06 Aug 2008 17:25:15', '733260.72587766882')
(4, '85.55', '88.56', 'Wed, 06 Aug 2008 17:25:18', '733260.72591228934')
(5, '85.55', '89.24', 'Wed, 06 Aug 2008 17:25:21', '733260.72594710789')
(6, '85.55', '89.92', 'Wed, 06 Aug 2008 17:25:24', '733260.72598172864')
(7, '85.77', '90.14', 'Wed, 06 Aug 2008 17:25:27', '733260.72601654695')
(8, '85.77', '90.82', 'Wed, 06 Aug 2008 17:25:30', '733260.72605116758')
(9, '85.55', '91.29', 'Wed, 06 Aug 2008 17:25:33', '733260.72608598613')
(10, '85.55', '91.98', 'Wed, 06 Aug 2008 17:25:36', '733260.72612079175')
(11, '85.77', '92.19', 'Wed, 06 Aug 2008 17:25:39', '733260.72615542542')
(12, '85.77', '93.56', 'Wed, 06 Aug 2008 17:25:42', '733260.72619023058')
(13, '85.55', '93.34', 'Wed, 06 Aug 2008 17:25:45', '733260.72622486390')
(14, '85.55', '93.34', 'Wed, 06 Aug 2008 17:25:48', '733260.72625966987')
(15, '85.55', '94.03', 'Wed, 06 Aug 2008 17:25:51', '733260.72629430296')
(16, '85.55', '94.71', 'Wed, 06 Aug 2008 17:25:54', '733260.72632929403')
(17, '85.55', '94.71', 'Wed, 06 Aug 2008 17:25:57', '733260.72636373073')
(18, '85.55', '94.71', 'Wed, 06 Aug 2008 17:26:00', '733260.72639873391')
(19, '85.55', '95.40', 'Wed, 06 Aug 2008 17:26:03', '733260.72643335501')
(20, '85.77', '96.30', 'Wed, 06 Aug 2008 17:26:06', '733260.72646817251')
(21, '85.55', '96.08', 'Wed, 06 Aug 2008 17:26:09', '733260.72650279419')
(22, '85.55', '96.76', 'Wed, 06 Aug 2008 17:26:12', '733260.72653761157')
(23, '85.77', '97.66', 'Wed, 06 Aug 2008 17:26:15', '733260.72657242429')
(24, '85.77', '97.66', 'Wed, 06 Aug 2008 17:26:18', '733260.72660705086')
(25, '85.55', '98.15', 'Wed, 06 Aug 2008 17:26:21', '733260.72664185718')
(26, '85.77', '99.03', 'Wed, 06 Aug 2008 17:26:24', '733260.72667649004')
(27, '85.55', '98.83', 'Wed, 06 Aug 2008 17:26:27', '733260.72671129613')
(28, '85.55', '99.52', 'Wed, 06 Aug 2008 17:26:30', '733260.72674592864')
(29, '85.77', '100.40', 'Wed, 06 Aug 2008 17:26:33', '733260.72678073542')
(30, '85.77', '100.40', 'Wed, 06 Aug 2008 17:26:36', '733260.72681535629')
(31, '85.77', '101.10', 'Wed, 06 Aug 2008 17:26:39', '733260.72685017460')
(32, '85.77', '101.79', 'Wed, 06 Aug 2008 17:26:42', '733260.72688479524')
(33, '85.55', '101.57', 'Wed, 06 Aug 2008 17:26:45', '733260.72691961366')
(34, '85.55', '102.25', 'Wed, 06 Aug 2008 17:26:48', '733260.72695423441')
(35, '85.55', '102.94', 'Wed, 06 Aug 2008 17:26:51', '733260.72698905296')
(36, '85.55', '102.94', 'Wed, 06 Aug 2008 17:26:54', '733260.72702367371')
(37, '85.77', '103.84', 'Wed, 06 Aug 2008 17:26:57', '733260.72705849202')
(38, '85.55', '103.62', 'Wed, 06 Aug 2008 17:27:00', '733260.72709311277')
(39, '85.77', '104.52', 'Wed, 06 Aug 2008 17:27:03', '733260.72712793120')
(40, '85.55', '104.99', 'Wed, 06 Aug 2008 17:27:06', '733260.72716273670')
(41, '85.55', '104.99', 'Wed, 06 Aug 2008 17:27:09', '733260.72719737026')
(42, '85.77', '105.21', 'Wed, 06 Aug 2008 17:27:12', '733260.72723217565')
(43, '85.55', '105.67', 'Wed, 06 Aug 2008 17:27:15', '733260.72726680886')
(44, '85.77', '106.57', 'Wed, 06 Aug 2008 17:27:18', '733260.72730161482')
(45, '85.55', '106.38', 'Wed, 06 Aug 2008 17:27:21', '733260.72733624803')
(46, '85.55', '107.06', 'Wed, 06 Aug 2008 17:27:24', '733260.72737105400')
(47, '85.77', '107.96', 'Wed, 06 Aug 2008 17:27:27', '733260.72740568721')
(48, '85.55', '107.74', 'Wed, 06 Aug 2008 17:27:30', '733260.72744049306')
(49, '85.55', '108.43', 'Wed, 06 Aug 2008 17:27:33', '733260.72747512639')
(50, '85.77', '109.33', 'Wed, 06 Aug 2008 17:27:36', '733260.72750993213')
(51, '85.55', '109.11', 'Wed, 06 Aug 2008 17:27:39', '733260.72754455393')
(52, '85.77', '109.33', 'Wed, 06 Aug 2008 17:27:42', '733260.72757937142')
(53, '85.55', '109.80', 'Wed, 06 Aug 2008 17:27:45', '733260.72761399311')
(54, '85.77', '110.01', 'Wed, 06 Aug 2008 17:27:48', '733260.72764881048')
(55, '85.55', '110.48', 'Wed, 06 Aug 2008 17:27:51', '733260.72768343240')
(56, '85.55', '110.48', 'Wed, 06 Aug 2008 17:27:54', '733260.72771824978')
(57, '85.77', '111.38', 'Wed, 06 Aug 2008 17:27:57', '733260.72775287135')
(58, '85.55', '111.85', 'Wed, 06 Aug 2008 17:28:00', '733260.72778768826')
(59, '85.77', '112.06', 'Wed, 06 Aug 2008 17:28:03', '733260.72782231006')
(60, '85.77', '112.06', 'Wed, 06 Aug 2008 17:28:06', '733260.72785712744')
(61, '85.77', '112.75', 'Wed, 06 Aug 2008 17:28:09', '733260.72789174924')
(62, '85.77', '113.45', 'Wed, 06 Aug 2008 17:28:12', '733260.72792656650')
(63, '85.77', '113.45', 'Wed, 06 Aug 2008 17:28:15', '733260.72796118830')
(64, '85.77', '114.13', 'Wed, 06 Aug 2008 17:28:18', '733260.72799600568')
(65, '85.77', '114.13', 'Wed, 06 Aug 2008 17:28:21', '733260.72803062748')
