Log Date and Time Mon, 03 Nov 2008 20:30:30
Ambient Kiln Date Date2Num

(0, '64.40', '143.19', 'Mon, 03 Nov 2008 13:30:32', '733349.56287496816')
(1, '64.40', '144.55', 'Mon, 03 Nov 2008 13:30:35', '733349.56290958880')
(2, '64.40', '143.87', 'Mon, 03 Nov 2008 13:30:38', '733349.56294440734')
(3, '64.40', '144.55', 'Mon, 03 Nov 2008 13:30:41', '733349.56297902786')
(4, '64.40', '144.55', 'Mon, 03 Nov 2008 13:30:44', '733349.56301384664')
(5, '64.40', '145.24', 'Mon, 03 Nov 2008 13:30:47', '733349.56304846716')
(6, '64.40', '145.94', 'Mon, 03 Nov 2008 13:30:50', '733349.56308328547')
(7, '64.40', '145.24', 'Mon, 03 Nov 2008 13:30:53', '733349.56311790622')
(8, '64.40', '146.62', 'Mon, 03 Nov 2008 13:30:56', '733349.56315272499')
(9, '64.40', '145.94', 'Mon, 03 Nov 2008 13:30:59', '733349.56318734575')
(10, '64.40', '145.94', 'Mon, 03 Nov 2008 13:31:02', '733349.56322216382')
(11, '64.40', '146.62', 'Mon, 03 Nov 2008 13:31:05', '733349.56325678458')
(12, '64.40', '145.94', 'Mon, 03 Nov 2008 13:31:08', '733349.56329160288')
(13, '64.40', '147.31', 'Mon, 03 Nov 2008 13:31:11', '733349.56332640885')
(14, '64.40', '147.31', 'Mon, 03 Nov 2008 13:31:14', '733349.56336104218')
(15, '64.40', '148.01', 'Mon, 03 Nov 2008 13:31:17', '733349.56339584792')
(16, '64.40', '148.69', 'Mon, 03 Nov 2008 13:31:20', '733349.56343046925')
(17, '64.40', '148.01', 'Mon, 03 Nov 2008 13:31:23', '733349.56346528674')
(18, '64.40', '148.69', 'Mon, 03 Nov 2008 13:31:26', '733349.56349990831')
(19, '64.40', '148.01', 'Mon, 03 Nov 2008 13:31:29', '733349.56353472581')
(20, '64.40', '148.69', 'Mon, 03 Nov 2008 13:31:32', '733349.56356934749')
(21, '64.40', '149.38', 'Mon, 03 Nov 2008 13:31:35', '733349.56360416533')
(22, '64.62', '149.59', 'Mon, 03 Nov 2008 13:31:38', '733349.56363878667')
(23, '64.62', '149.59', 'Mon, 03 Nov 2008 13:31:41', '733349.56367360486')
