Log Date and Time Wed, 03 Dec 2008 14:28:11
Ambient Kiln Date Date2Num

(0, '58.77', '277.48', 'Tue, 02 Dec 2008 14:08:28', '733378.58922143898')
(1, '58.77', '278.19', 'Tue, 02 Dec 2008 14:08:31', '733378.58925607160')
(2, '58.77', '278.19', 'Tue, 02 Dec 2008 14:08:34', '733378.58929087815')
(3, '58.77', '278.89', 'Tue, 02 Dec 2008 14:08:37', '733378.58932551078')
(4, '59.00', '279.81', 'Tue, 02 Dec 2008 14:08:40', '733378.58936031885')
(5, '58.77', '278.89', 'Tue, 02 Dec 2008 14:08:43', '733378.58939494996')
(6, '58.77', '278.89', 'Tue, 02 Dec 2008 14:08:46', '733378.58942975639')
(7, '58.77', '278.89', 'Tue, 02 Dec 2008 14:08:49', '733378.58946438890')
(8, '58.77', '279.57', 'Tue, 02 Dec 2008 14:08:52', '733378.58949919569')
(9, '58.77', '279.57', 'Tue, 02 Dec 2008 14:08:55', '733378.58953382808')
(10, '58.77', '279.57', 'Tue, 02 Dec 2008 14:08:58', '733378.58956863475')
(11, '58.77', '279.57', 'Tue, 02 Dec 2008 14:09:01', '733378.58960326726')
(12, '58.77', '279.57', 'Tue, 02 Dec 2008 14:09:04', '733378.58963807346')
(13, '58.77', '279.57', 'Tue, 02 Dec 2008 14:09:07', '733378.58967270644')
(14, '58.77', '280.27', 'Tue, 02 Dec 2008 14:09:10', '733378.58970751241')
(15, '58.77', '280.27', 'Tue, 02 Dec 2008 14:09:13', '733378.58974214515')
(16, '58.77', '280.96', 'Tue, 02 Dec 2008 14:09:16', '733378.58977695170')
(17, '58.77', '280.27', 'Tue, 02 Dec 2008 14:09:19', '733378.58981157257')
(18, '58.77', '280.27', 'Tue, 02 Dec 2008 14:09:22', '733378.58984639065')
(19, '58.77', '280.96', 'Tue, 02 Dec 2008 14:09:25', '733378.58988101175')
(20, '58.77', '280.96', 'Tue, 02 Dec 2008 14:09:28', '733378.58991583006')
(21, '58.77', '281.66', 'Tue, 02 Dec 2008 14:09:31', '733378.58995045081')
(22, '58.77', '281.66', 'Tue, 02 Dec 2008 14:09:34', '733378.58998526901')
(23, '58.77', '281.66', 'Tue, 02 Dec 2008 14:09:37', '733378.59001989011')
(24, '58.77', '282.36', 'Tue, 02 Dec 2008 14:09:40', '733378.59005470818')
(25, '58.77', '283.05', 'Tue, 02 Dec 2008 14:09:43', '733378.59008932917')
(26, '58.77', '283.05', 'Tue, 02 Dec 2008 14:09:46', '733378.59012414736')
(27, '58.77', '283.05', 'Tue, 02 Dec 2008 14:09:49', '733378.59015895298')
(28, '58.77', '283.75', 'Tue, 02 Dec 2008 14:09:52', '733378.59019358654')
(29, '58.77', '283.75', 'Tue, 02 Dec 2008 14:09:55', '733378.59022839204')
(30, '58.77', '283.75', 'Tue, 02 Dec 2008 14:09:58', '733378.59026302549')
(31, '58.77', '283.75', 'Tue, 02 Dec 2008 14:10:01', '733378.59029783122')
(32, '59.00', '283.98', 'Tue, 02 Dec 2008 14:10:04', '733378.59033246420')
(33, '58.77', '283.75', 'Tue, 02 Dec 2008 14:10:07', '733378.59036727040')
(34, '58.77', '284.45', 'Tue, 02 Dec 2008 14:10:10', '733378.59040190326')
(35, '58.77', '284.45', 'Tue, 02 Dec 2008 14:10:13', '733378.59043670970')
(36, '58.77', '285.13', 'Tue, 02 Dec 2008 14:10:16', '733378.59047134256')
(37, '58.77', '285.13', 'Tue, 02 Dec 2008 14:10:19', '733378.59050614876')
(38, '58.77', '285.13', 'Tue, 02 Dec 2008 14:10:22', '733378.59054077021')
(39, '58.77', '284.45', 'Tue, 02 Dec 2008 14:10:25', '733378.59057558782')
(40, '58.77', '284.45', 'Tue, 02 Dec 2008 14:10:28', '733378.59061020939')
(41, '58.77', '285.13', 'Tue, 02 Dec 2008 14:10:31', '733378.59064502700')
(42, '58.77', '285.13', 'Tue, 02 Dec 2008 14:10:34', '733378.59067964845')
(43, '58.77', '285.13', 'Tue, 02 Dec 2008 14:10:37', '733378.59071446618')
(44, '58.77', '285.84', 'Tue, 02 Dec 2008 14:10:40', '733378.59074908763')
(45, '58.77', '285.84', 'Tue, 02 Dec 2008 14:10:43', '733378.59078390489')
(46, '58.77', '285.84', 'Tue, 02 Dec 2008 14:10:46', '733378.59081852622')
(47, '58.77', '286.52', 'Tue, 02 Dec 2008 14:10:49', '733378.59085334395')
(48, '58.77', '285.84', 'Tue, 02 Dec 2008 14:10:52', '733378.59088796540')
(49, '58.77', '286.52', 'Tue, 02 Dec 2008 14:10:55', '733378.59092278313')
(50, '58.77', '286.52', 'Tue, 02 Dec 2008 14:10:58', '733378.59095740470')
(51, '58.77', '287.22', 'Tue, 02 Dec 2008 14:11:01', '733378.59099222219')
(52, '58.77', '286.52', 'Tue, 02 Dec 2008 14:11:04', '733378.59102702886')
(53, '58.77', '287.22', 'Tue, 02 Dec 2008 14:11:07', '733378.59106166125')
(54, '58.77', '287.22', 'Tue, 02 Dec 2008 14:11:10', '733378.59109646804')
(55, '58.77', '287.22', 'Tue, 02 Dec 2008 14:11:13', '733378.59113108879')
(56, '58.77', '287.92', 'Tue, 02 Dec 2008 14:11:16', '733378.59116590710')
(57, '58.77', '287.92', 'Tue, 02 Dec 2008 14:11:19', '733378.59120052832')
(58, '58.77', '287.92', 'Tue, 02 Dec 2008 14:11:22', '733378.59123534639')
(59, '58.77', '288.61', 'Tue, 02 Dec 2008 14:11:25', '733378.59126996715')
(60, '58.77', '287.92', 'Tue, 02 Dec 2008 14:11:28', '733378.59130478511')
(61, '58.77', '288.61', 'Tue, 02 Dec 2008 14:11:31', '733378.59133940586')
(62, '58.77', '288.61', 'Tue, 02 Dec 2008 14:11:34', '733378.59137422394')
(63, '58.77', '289.31', 'Tue, 02 Dec 2008 14:11:37', '733378.59140884492')
(64, '58.77', '289.31', 'Tue, 02 Dec 2008 14:11:40', '733378.59144366311')
(65, '58.77', '289.31', 'Tue, 02 Dec 2008 14:11:43', '733378.59147828422')
(66, '58.77', '289.31', 'Tue, 02 Dec 2008 14:11:46', '733378.59151310241')
(67, '58.77', '289.31', 'Tue, 02 Dec 2008 14:11:49', '733378.59154772328')
(68, '58.77', '289.99', 'Tue, 02 Dec 2008 14:11:52', '733378.59158254135')
(69, '58.77', '289.99', 'Tue, 02 Dec 2008 14:11:55', '733378.59161716246')
(70, '58.77', '290.70', 'Tue, 02 Dec 2008 14:11:58', '733378.59165198077')
(71, '58.77', '290.70', 'Tue, 02 Dec 2008 14:12:01', '733378.59168660152')
(72, '58.77', '291.40', 'Tue, 02 Dec 2008 14:12:04', '733378.59172141971')
(73, '58.77', '291.40', 'Tue, 02 Dec 2008 14:12:07', '733378.59175622580')
(74, '58.77', '291.40', 'Tue, 02 Dec 2008 14:12:10', '733378.59179084736')
(75, '58.77', '292.08', 'Tue, 02 Dec 2008 14:12:13', '733378.59182566463')
(76, '58.77', '292.08', 'Tue, 02 Dec 2008 14:12:16', '733378.59186028654')
(77, '58.77', '292.08', 'Tue, 02 Dec 2008 14:12:19', '733378.59189510369')
(78, '58.77', '292.08', 'Tue, 02 Dec 2008 14:12:22', '733378.59192972514')
(79, '58.77', '291.40', 'Tue, 02 Dec 2008 14:12:25', '733378.59196454275')
(80, '58.77', '291.40', 'Tue, 02 Dec 2008 14:12:28', '733378.59199916432')
(81, '58.77', '291.40', 'Tue, 02 Dec 2008 14:12:31', '733378.59203398193')
(82, '58.77', '292.78', 'Tue, 02 Dec 2008 14:12:34', '733378.59206860326')
(83, '58.77', '292.78', 'Tue, 02 Dec 2008 14:12:37', '733378.59210342099')
(84, '58.77', '292.78', 'Tue, 02 Dec 2008 14:12:40', '733378.59213804256')
(85, '58.77', '293.47', 'Tue, 02 Dec 2008 14:12:43', '733378.59217286040')
(86, '58.77', '293.47', 'Tue, 02 Dec 2008 14:12:46', '733378.59220748174')
(87, '58.77', '293.47', 'Tue, 02 Dec 2008 14:12:49', '733378.59224229935')
(88, '58.77', '293.47', 'Tue, 02 Dec 2008 14:12:52', '733378.59227692080')
(89, '58.77', '293.47', 'Tue, 02 Dec 2008 14:12:55', '733378.59231173864')
(90, '58.77', '294.17', 'Tue, 02 Dec 2008 14:12:58', '733378.59234635963')
(91, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:01', '733378.59238117770')
(92, '58.77', '293.47', 'Tue, 02 Dec 2008 14:13:04', '733378.59241579857')
(93, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:07', '733378.59245061642')
