Log Date and Time Thu, 20 Mar 2008 15:15:47
Ambient Kiln Date Date2Num

(0, '71.60', '71.60', 'Thu, 20 Mar 2008 15:13:59', '733121.63471078989')
(1, '71.60', '71.60', 'Thu, 20 Mar 2008 15:14:02', '733121.63474565663')
(2, '71.60', '71.60', 'Thu, 20 Mar 2008 15:14:05', '733121.63478021219')
(3, '71.60', '71.60', 'Thu, 20 Mar 2008 15:14:08', '733121.63481500919')
(4, '71.60', '71.60', 'Thu, 20 Mar 2008 15:14:11', '733121.63484981854')
(5, '71.60', '71.60', 'Thu, 20 Mar 2008 15:14:14', '733121.63488467364')
(6, '71.60', '290.95', 'Thu, 20 Mar 2008 15:14:17', '733121.63491942605')
(7, '71.60', '433.27', 'Thu, 20 Mar 2008 15:14:20', '733121.63495403738')
(8, '71.60', '492.62', 'Thu, 20 Mar 2008 15:14:23', '733121.63498884847')
(9, '71.60', '500.18', 'Thu, 20 Mar 2008 15:14:26', '733121.63502383011')
(10, '71.60', '537.94', 'Thu, 20 Mar 2008 15:14:29', '733121.63505845482')
(11, '71.60', '569.39', 'Thu, 20 Mar 2008 15:14:32', '733121.63509325241')
(12, '71.60', '544.10', 'Thu, 20 Mar 2008 15:14:35', '733121.63512806082')
(13, '71.60', '533.14', 'Thu, 20 Mar 2008 15:14:38', '733121.63516267389')
(14, '71.60', '535.19', 'Thu, 20 Mar 2008 15:14:41', '733121.63519748172')
(15, '71.60', '522.18', 'Thu, 20 Mar 2008 15:14:44', '733121.63523228071')
(16, '71.60', '552.99', 'Thu, 20 Mar 2008 15:14:47', '733121.63526707806')
(17, '71.60', '542.73', 'Thu, 20 Mar 2008 15:14:50', '733121.63530170952')
(18, '71.60', '578.26', 'Thu, 20 Mar 2008 15:14:53', '733121.63533668569')
(19, '71.60', '377.82', 'Thu, 20 Mar 2008 15:14:56', '733121.63537130854')
(20, '71.60', '359.76', 'Thu, 20 Mar 2008 15:14:59', '733121.63540610566')
(21, '71.60', '539.31', 'Thu, 20 Mar 2008 15:15:02', '733121.63544110104')
(22, '71.60', '593.24', 'Thu, 20 Mar 2008 15:15:05', '733121.63547589886')
(23, '71.60', '552.99', 'Thu, 20 Mar 2008 15:15:08', '733121.63551070786')
(24, '71.60', '405.57', 'Thu, 20 Mar 2008 15:15:11', '733121.63554550509')
(25, '71.60', '195.19', 'Thu, 20 Mar 2008 15:15:14', '733121.63558012922')
(26, '71.60', '106.29', 'Thu, 20 Mar 2008 15:15:17', '733121.63561492669')
(27, '71.60', '72.07', 'Thu, 20 Mar 2008 15:15:20', '733121.63564973534')
(28, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:23', '733121.63568453374')
(29, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:26', '733121.63571933133')
(30, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:29', '733121.63575414044')
(31, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:32', '733121.63578875258')
(32, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:35', '733121.63582356309')
(33, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:38', '733121.63585835893')
(34, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:41', '733121.63589520531')
(35, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:44', '733121.63593000348')
(36, '71.60', '71.60', 'Thu, 20 Mar 2008 15:15:47', '733121.63596481248')
