Log Date and Time Thu, 20 Mar 2008 15:51:14
Ambient Kiln Date Date2Num

(0, '71.37', '71.37', 'Thu, 20 Mar 2008 15:48:55', '733121.65897617477')
(1, '71.37', '71.37', 'Thu, 20 Mar 2008 15:48:58', '733121.65901096817')
(2, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:01', '733121.65904577752')
(3, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:04', '733121.65908058092')
(4, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:07', '733121.65911538491')
(5, '71.60', '71.60', 'Thu, 20 Mar 2008 15:49:10', '733121.65915019717')
(6, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:13', '733121.65918499127')
(7, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:16', '733121.65921978850')
(8, '71.37', '71.37', 'Thu, 20 Mar 2008 15:49:19', '733121.65925443545')
(9, '71.37', '96.46', 'Thu, 20 Mar 2008 15:49:22', '733121.65928921045')
(10, '71.37', '221.29', 'Thu, 20 Mar 2008 15:49:25', '733121.65932405950')
(11, '71.37', '348.42', 'Thu, 20 Mar 2008 15:49:28', '733121.65935881843')
(12, '71.37', '439.25', 'Thu, 20 Mar 2008 15:49:31', '733121.65939361474')
(13, '71.37', '449.64', 'Thu, 20 Mar 2008 15:49:34', '733121.65942823910')
(14, '71.37', '473.09', 'Thu, 20 Mar 2008 15:49:37', '733121.65946303634')
(15, '71.37', '330.35', 'Thu, 20 Mar 2008 15:49:40', '733121.65949784557')
(16, '71.37', '505.45', 'Thu, 20 Mar 2008 15:49:43', '733121.65953264397')
(17, '71.37', '326.88', 'Thu, 20 Mar 2008 15:49:46', '733121.65956745460')
(18, '71.37', '499.26', 'Thu, 20 Mar 2008 15:49:49', '733121.65960225009')
(19, '71.37', '518.50', 'Thu, 20 Mar 2008 15:49:52', '733121.65963705955')
(20, '71.37', '312.28', 'Thu, 20 Mar 2008 15:49:55', '733121.65967185772')
(21, '71.37', '514.38', 'Thu, 20 Mar 2008 15:49:58', '733121.65970647067')
(22, '71.37', '519.87', 'Thu, 20 Mar 2008 15:50:01', '733121.65974146361')
(23, '71.37', '563.70', 'Thu, 20 Mar 2008 15:50:04', '733121.65977626469')
(24, '71.37', '582.12', 'Thu, 20 Mar 2008 15:50:07', '733121.65981109056')
(25, '71.37', '574.61', 'Thu, 20 Mar 2008 15:50:10', '733121.65984568372')
(26, '71.37', '486.88', 'Thu, 20 Mar 2008 15:50:13', '733121.65988049249')
(27, '71.37', '375.49', 'Thu, 20 Mar 2008 15:50:16', '733121.65991529089')
(28, '71.37', '325.47', 'Thu, 20 Mar 2008 15:50:19', '733121.65995009977')
(29, '71.37', '575.98', 'Thu, 20 Mar 2008 15:50:22', '733121.65998489689')
(30, '71.37', '515.77', 'Thu, 20 Mar 2008 15:50:25', '733121.66001970635')
(31, '71.37', '622.22', 'Thu, 20 Mar 2008 15:50:28', '733121.66005431837')
(32, '71.37', '603.21', 'Thu, 20 Mar 2008 15:50:31', '733121.66008912714')
(33, '71.37', '573.94', 'Thu, 20 Mar 2008 15:50:34', '733121.66012392635')
(34, '71.37', '554.81', 'Thu, 20 Mar 2008 15:50:37', '733121.66015872359')
(35, '71.37', '517.82', 'Thu, 20 Mar 2008 15:50:40', '733121.66019353189')
(36, '71.37', '192.88', 'Thu, 20 Mar 2008 15:50:43', '733121.66022814834')
(37, '71.37', '97.14', 'Thu, 20 Mar 2008 15:50:46', '733121.66026295407')
(38, '71.37', '77.99', 'Thu, 20 Mar 2008 15:50:49', '733121.66029775073')
(39, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:52', '733121.66033256042')
(40, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:55', '733121.66036735743')
(41, '71.37', '71.37', 'Thu, 20 Mar 2008 15:50:58', '733121.66040216724')
(42, '71.37', '71.37', 'Thu, 20 Mar 2008 15:51:01', '733121.66043918766')
(43, '71.37', '71.37', 'Thu, 20 Mar 2008 15:51:04', '733121.66047399596')
(44, '71.37', '71.37', 'Thu, 20 Mar 2008 15:51:07', '733121.66050879390')
(45, '71.37', '71.37', 'Thu, 20 Mar 2008 15:51:10', '733121.66054364026')
(46, '71.37', '71.37', 'Thu, 20 Mar 2008 15:51:13', '733121.66057821549')
