Log Date and Time Fri, 21 Mar 2008 08:29:42
Ambient Kiln Date Date2Num

(0, '71.60', '250.66', 'Thu, 20 Mar 2008 20:46:41', '733121.98665980843')
(1, '71.60', '251.60', 'Thu, 20 Mar 2008 20:46:44', '733121.98669442814')
(2, '71.60', '250.66', 'Thu, 20 Mar 2008 20:46:47', '733121.98672924540')
(3, '71.82', '253.45', 'Thu, 20 Mar 2008 20:46:50', '733121.98676404951')
(4, '71.60', '250.21', 'Thu, 20 Mar 2008 20:46:53', '733121.98679868109')
(5, '71.60', '254.37', 'Thu, 20 Mar 2008 20:46:56', '733121.98683348682')
(6, '71.60', '252.75', 'Thu, 20 Mar 2008 20:46:59', '733121.98686829198')
(7, '71.60', '250.90', 'Thu, 20 Mar 2008 20:47:02', '733121.98690292495')
(8, '71.60', '249.28', 'Thu, 20 Mar 2008 20:47:05', '733121.98693773127')
(9, '71.60', '250.21', 'Thu, 20 Mar 2008 20:47:08', '733121.98697254725')
(10, '71.60', '252.07', 'Thu, 20 Mar 2008 20:47:11', '733121.98700716195')
(11, '71.60', '252.75', 'Thu, 20 Mar 2008 20:47:14', '733121.98704197828')
(12, '71.60', '252.07', 'Thu, 20 Mar 2008 20:47:17', '733121.98707660369')
(13, '71.60', '251.60', 'Thu, 20 Mar 2008 20:47:20', '733121.98711141921')
(14, '71.60', '252.99', 'Thu, 20 Mar 2008 20:47:23', '733121.98714622040')
(15, '71.60', '252.99', 'Thu, 20 Mar 2008 20:47:26', '733121.98718085361')
(16, '71.82', '252.07', 'Thu, 20 Mar 2008 20:47:29', '733121.98721566331')
(17, '71.60', '250.90', 'Thu, 20 Mar 2008 20:47:32', '733121.98725029430')
(18, '71.60', '250.66', 'Thu, 20 Mar 2008 20:47:35', '733121.98728509760')
(19, '71.60', '250.21', 'Thu, 20 Mar 2008 20:47:38', '733121.98731990054')
(20, '71.82', '250.66', 'Thu, 20 Mar 2008 20:47:41', '733121.98735453153')
(21, '71.60', '250.21', 'Thu, 20 Mar 2008 20:47:44', '733121.98738934193')
(22, '71.82', '252.07', 'Thu, 20 Mar 2008 20:47:47', '733121.98742415698')
(23, '71.82', '252.07', 'Thu, 20 Mar 2008 20:47:50', '733121.98745877901')
(24, '71.82', '252.30', 'Thu, 20 Mar 2008 20:47:53', '733121.98749359674')
(25, '71.82', '252.07', 'Thu, 20 Mar 2008 20:47:56', '733121.98752840131')
(26, '71.82', '250.66', 'Thu, 20 Mar 2008 20:47:59', '733121.98756302986')
(27, '71.82', '250.21', 'Thu, 20 Mar 2008 20:48:02', '733121.98759783816')
(28, '71.60', '250.21', 'Thu, 20 Mar 2008 20:48:05', '733121.98763265240')
(29, '71.82', '249.28', 'Thu, 20 Mar 2008 20:48:08', '733121.98766726919')
(30, '71.82', '249.28', 'Thu, 20 Mar 2008 20:48:11', '733121.98770208971')
(31, '71.82', '250.66', 'Thu, 20 Mar 2008 20:48:14', '733121.98773671093')
(32, '71.82', '250.21', 'Thu, 20 Mar 2008 20:48:17', '733121.98777152644')
(33, '71.82', '251.60', 'Thu, 20 Mar 2008 20:48:20', '733121.98780633218')
(34, '71.82', '251.37', 'Thu, 20 Mar 2008 20:48:23', '733121.98784095084')
(35, '71.82', '252.75', 'Thu, 20 Mar 2008 20:48:26', '733121.98787576857')
(36, '71.82', '252.07', 'Thu, 20 Mar 2008 20:48:29', '733121.98791038804')
(37, '71.82', '249.98', 'Thu, 20 Mar 2008 20:48:32', '733121.98794520611')
(38, '71.82', '250.90', 'Thu, 20 Mar 2008 20:48:35', '733121.98798001034')
(39, '71.82', '250.90', 'Thu, 20 Mar 2008 20:48:38', '733121.98801464331')
(40, '71.82', '252.99', 'Thu, 20 Mar 2008 20:48:41', '733121.98804944591')
(41, '71.82', '251.37', 'Thu, 20 Mar 2008 20:48:44', '733121.98808407865')
(42, '71.82', '250.21', 'Thu, 20 Mar 2008 20:48:47', '733121.98811888404')
(43, '71.82', '252.99', 'Thu, 20 Mar 2008 20:48:50', '733121.98815351631')
(44, '71.82', '251.60', 'Thu, 20 Mar 2008 20:48:53', '733121.98818832100')
(45, '71.82', '252.07', 'Thu, 20 Mar 2008 20:48:56', '733121.98822313943')
(46, '71.82', '252.30', 'Thu, 20 Mar 2008 20:48:59', '733121.98825775378')
(47, '71.82', '250.90', 'Thu, 20 Mar 2008 20:49:02', '733121.98829256394')
(48, '71.82', '248.81', 'Thu, 20 Mar 2008 20:49:05', '733121.98832719377')
(49, '71.82', '251.37', 'Thu, 20 Mar 2008 20:49:08', '733121.98836200126')
(50, '71.82', '252.07', 'Thu, 20 Mar 2008 20:49:11', '733121.98839671002')
(51, '72.05', '252.75', 'Thu, 20 Mar 2008 20:49:14', '733121.98843143706')
(52, '71.82', '251.37', 'Thu, 20 Mar 2008 20:49:17', '733121.98846606794')
(53, '72.05', '252.07', 'Thu, 20 Mar 2008 20:49:20', '733121.98850087402')
(54, '72.05', '250.66', 'Thu, 20 Mar 2008 20:49:23', '733121.98853569059')
(55, '71.82', '253.69', 'Thu, 20 Mar 2008 20:49:26', '733121.98857031006')
(56, '71.82', '252.75', 'Thu, 20 Mar 2008 20:49:29', '733121.98860512627')
(57, '72.05', '252.30', 'Thu, 20 Mar 2008 20:49:32', '733121.98863974307')
(58, '71.82', '252.30', 'Thu, 20 Mar 2008 20:49:35', '733121.98867456394')
(59, '71.82', '252.75', 'Thu, 20 Mar 2008 20:49:38', '733121.98870918422')
(60, '71.82', '252.75', 'Thu, 20 Mar 2008 20:49:41', '733121.98874399986')
(61, '71.82', '252.99', 'Thu, 20 Mar 2008 20:49:44', '733121.98877862107')
(62, '72.05', '251.60', 'Thu, 20 Mar 2008 20:49:47', '733121.98881342611')
(63, '71.82', '252.99', 'Thu, 20 Mar 2008 20:49:50', '733121.98884805746')
(64, '72.05', '250.90', 'Thu, 20 Mar 2008 20:49:53', '733121.98888285854')
(65, '72.05', '250.66', 'Thu, 20 Mar 2008 20:49:56', '733121.98891749466')
(66, '71.82', '250.66', 'Thu, 20 Mar 2008 20:49:59', '733121.98895229911')
(67, '72.05', '252.07', 'Thu, 20 Mar 2008 20:50:02', '733121.98898693197')
(68, '72.05', '251.60', 'Thu, 20 Mar 2008 20:50:05', '733121.98902173643')
(69, '71.82', '252.75', 'Thu, 20 Mar 2008 20:50:08', '733121.98905655404')
(70, '72.05', '253.45', 'Thu, 20 Mar 2008 20:50:11', '733121.98909117270')
(71, '72.05', '257.14', 'Thu, 20 Mar 2008 20:50:14', '733121.98912599019')
(72, '71.82', '252.99', 'Thu, 20 Mar 2008 20:50:17', '733121.98916061118')
(73, '71.82', '250.66', 'Thu, 20 Mar 2008 20:50:20', '733121.98919542925')
(74, '72.05', '252.30', 'Thu, 20 Mar 2008 20:50:23', '733121.98923022847')
(75, '72.05', '252.07', 'Thu, 20 Mar 2008 20:50:26', '733121.98926485353')
(76, '72.05', '254.84', 'Thu, 20 Mar 2008 20:50:29', '733121.98929966940')
(77, '72.05', '249.51', 'Thu, 20 Mar 2008 20:50:32', '733121.98933447548')
(78, '72.05', '253.45', 'Thu, 20 Mar 2008 20:50:35', '733121.98936929007')
(79, '72.05', '251.37', 'Thu, 20 Mar 2008 20:50:38', '733121.98940391175')
(80, '71.82', '252.75', 'Thu, 20 Mar 2008 20:50:41', '733121.98943872727')
(81, '72.05', '249.98', 'Thu, 20 Mar 2008 20:50:44', '733121.98947353417')
(82, '71.82', '251.37', 'Thu, 20 Mar 2008 20:50:47', '733121.98950834968')
(83, '72.05', '254.14', 'Thu, 20 Mar 2008 20:50:50', '733121.98954297113')
(84, '72.05', '254.14', 'Thu, 20 Mar 2008 20:50:53', '733121.98957778700')
(85, '72.05', '251.37', 'Thu, 20 Mar 2008 20:50:56', '733121.98961259250')
(86, '72.05', '250.66', 'Thu, 20 Mar 2008 20:50:59', '733121.98964740825')
(87, '72.05', '252.07', 'Thu, 20 Mar 2008 20:51:02', '733121.98968202947')
