Log Date and Time Wed, 19 Mar 2008 09:00:44
Ambient Kiln Date Date2Num

(0, '73.62', '74.05', 'Tue, 18 Mar 2008 16:40:48', '733119.69500186003')
(1, '73.40', '73.83', 'Tue, 18 Mar 2008 16:40:51', '733119.69503665762')
(2, '73.40', '73.83', 'Tue, 18 Mar 2008 16:40:54', '733119.69507146662')
(3, '73.40', '73.83', 'Tue, 18 Mar 2008 16:40:57', '733119.69510608038')
(4, '73.40', '73.83', 'Tue, 18 Mar 2008 16:41:00', '733119.69514088973')
(5, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:03', '733119.69517568650')
(6, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:06', '733119.69521049596')
(7, '73.40', '73.83', 'Tue, 18 Mar 2008 16:41:09', '733119.69524532801')
(8, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:12', '733119.69528010266')
(9, '73.62', '74.73', 'Tue, 18 Mar 2008 16:41:15', '733119.69531471399')
(10, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:18', '733119.69534951239')
(11, '73.40', '73.83', 'Tue, 18 Mar 2008 16:41:21', '733119.69538432208')
(12, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:24', '733119.69541911990')
(13, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:27', '733119.69545411482')
(14, '73.40', '73.83', 'Tue, 18 Mar 2008 16:41:30', '733119.69548891077')
(15, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:33', '733119.69552353432')
(16, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:36', '733119.69555833284')
(17, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:39', '733119.69559314149')
(18, '73.40', '73.83', 'Tue, 18 Mar 2008 16:41:42', '733119.69562793884')
(19, '73.62', '74.73', 'Tue, 18 Mar 2008 16:41:45', '733119.69566274772')
(20, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:48', '733119.69569754647')
(21, '73.40', '74.52', 'Tue, 18 Mar 2008 16:41:51', '733119.69573235651')
(22, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:54', '733119.69576738798')
(23, '73.62', '74.05', 'Tue, 18 Mar 2008 16:41:57', '733119.69580213586')
(24, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:00', '733119.69583657454')
(25, '73.62', '74.73', 'Tue, 18 Mar 2008 16:42:03', '733119.69587120297')
(26, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:06', '733119.69590605819')
(27, '73.40', '74.52', 'Tue, 18 Mar 2008 16:42:09', '733119.69594126602')
(28, '73.40', '74.52', 'Tue, 18 Mar 2008 16:42:12', '733119.69597580540')
(29, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:15', '733119.69601065677')
(30, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:18', '733119.69604502490')
(31, '73.40', '73.83', 'Tue, 18 Mar 2008 16:42:21', '733119.69607988722')
(32, '73.62', '74.73', 'Tue, 18 Mar 2008 16:42:24', '733119.69611464615')
(33, '73.62', '74.73', 'Tue, 18 Mar 2008 16:42:27', '733119.69614942931')
(34, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:30', '733119.69618423842')
(35, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:33', '733119.69621903601')
(36, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:36', '733119.69625365955')
(37, '73.62', '74.73', 'Tue, 18 Mar 2008 16:42:39', '733119.69628851023')
(38, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:42', '733119.69632325741')
(39, '73.62', '74.05', 'Tue, 18 Mar 2008 16:42:45', '733119.69635806454')
(40, '73.40', '74.52', 'Tue, 18 Mar 2008 16:42:48', '733119.69639286236')
(41, '73.62', '74.73', 'Tue, 18 Mar 2008 16:42:51', '733119.69642770570')
(42, '73.40', '74.52', 'Tue, 18 Mar 2008 16:42:54', '733119.69646246801')
(43, '73.40', '74.52', 'Tue, 18 Mar 2008 16:42:57', '733119.69649727852')
(44, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:00', '733119.69653207471')
(45, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:03', '733119.69656670024')
(46, '73.62', '74.05', 'Tue, 18 Mar 2008 16:43:06', '733119.69660149678')
(47, '73.40', '74.52', 'Tue, 18 Mar 2008 16:43:09', '733119.69663649239')
(48, '73.62', '74.05', 'Tue, 18 Mar 2008 16:43:12', '733119.69667110336')
(49, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:15', '733119.69670591399')
(50, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:18', '733119.69674052636')
(51, '73.62', '75.42', 'Tue, 18 Mar 2008 16:43:21', '733119.69677532313')
(52, '73.40', '74.52', 'Tue, 18 Mar 2008 16:43:24', '733119.69681022316')
(53, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:27', '733119.69684493286')
(54, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:30', '733119.69687973883')
(55, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:33', '733119.69691453746')
(56, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:36', '733119.69694916112')
(57, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:39', '733119.69698395859')
(58, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:42', '733119.69701876712')
(59, '73.62', '74.05', 'Tue, 18 Mar 2008 16:43:45', '733119.69705356529')
(60, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:48', '733119.69708837452')
(61, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:51', '733119.69712317188')
(62, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:54', '733119.69715779589')
(63, '73.62', '74.73', 'Tue, 18 Mar 2008 16:43:57', '733119.69719259383')
(64, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:00', '733119.69722740236')
(65, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:03', '733119.69726220041')
(66, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:06', '733119.69729699788')
(67, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:09', '733119.69733180711')
(68, '73.62', '74.05', 'Tue, 18 Mar 2008 16:44:12', '733119.69736641948')
(69, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:15', '733119.69740122906')
(70, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:18', '733119.69743602560')
(71, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:21', '733119.69747083599')
(72, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:24', '733119.69750563323')
(73, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:27', '733119.69754025748')
(74, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:30', '733119.69757505448')
(75, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:33', '733119.69760986429')
(76, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:36', '733119.69764466200')
(77, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:39', '733119.69767947216')
(78, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:42', '733119.69771426904')
(79, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:45', '733119.69774888130')
(80, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:48', '733119.69778369355')
(81, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:51', '733119.69781848765')
(82, '73.62', '74.73', 'Tue, 18 Mar 2008 16:44:54', '733119.69785329653')
(83, '73.62', '75.42', 'Tue, 18 Mar 2008 16:44:57', '733119.69788809610')
(84, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:00', '733119.69792290276')
(85, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:03', '733119.69795751607')
(86, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:06', '733119.69799232518')
(87, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:09', '733119.69802712253')
(88, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:12', '733119.69806193188')
(89, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:15', '733119.69809673005')
(90, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:18', '733119.69813153928')
(91, '73.40', '75.20', 'Tue, 18 Mar 2008 16:45:21', '733119.69816615118')
(92, '73.40', '75.20', 'Tue, 18 Mar 2008 16:45:24', '733119.69820094854')
(93, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:27', '733119.69823575846')
(94, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:30', '733119.69827055512')
(95, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:33', '733119.69830536505')
(96, '73.62', '75.42', 'Tue, 18 Mar 2008 16:45:36', '733119.69833997707')
(97, '73.62', '74.73', 'Tue, 18 Mar 2008 16:45:39', '733119.69837478641')
