Log Date and Time Wed, 10 Oct 2012 00:44:13
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '69.3', '2084.0', '2046.6', 'Tue, 09 Oct 2012 21:59:41', '734785.91645312705')
(1, '69.3', '2084.8', '2047.4', 'Tue, 09 Oct 2012 22:00:11', '734785.91680037021')
(2, '69.3', '2085.5', '2048.8', 'Tue, 09 Oct 2012 22:00:41', '734785.91714774154')
(3, '69.3', '2085.5', '2048.1', 'Tue, 09 Oct 2012 22:01:11', '734785.91749504744')
(4, '69.3', '2086.0', '2050.4', 'Tue, 09 Oct 2012 22:01:41', '734785.91784255707')
(5, '69.3', '2088.3', '2049.6', 'Tue, 09 Oct 2012 22:02:11', '734785.91819008079')
(6, '69.3', '2087.5', '2051.9', 'Tue, 09 Oct 2012 22:02:41', '734785.91853759170')
(7, '69.3', '2087.5', '2051.9', 'Tue, 09 Oct 2012 22:03:11', '734785.91888511775')
(8, '69.3', '2087.5', '2051.9', 'Tue, 09 Oct 2012 22:03:41', '734785.91923264985')
(9, '69.3', '2083.6', '2050.4', 'Tue, 09 Oct 2012 22:04:11', '734785.91958018462')
(10, '69.3', '2065.7', '2045.1', 'Tue, 09 Oct 2012 22:04:41', '734785.91992771160')
(11, '69.3', '2050.0', '2039.1', 'Tue, 09 Oct 2012 22:05:11', '734785.92027523171')
(12, '69.3', '2039.0', '2033.2', 'Tue, 09 Oct 2012 22:05:41', '734785.92062277917')
(13, '69.6', '2030.1', '2028.2', 'Tue, 09 Oct 2012 22:06:11', '734785.92097031383')
(14, '69.6', '2023.3', '2023.7', 'Tue, 09 Oct 2012 22:06:41', '734785.92131787085')
(15, '69.6', '2018.9', '2020.7', 'Tue, 09 Oct 2012 22:07:11', '734785.92166532483')
(16, '69.3', '2012.9', '2016.8', 'Tue, 09 Oct 2012 22:07:41', '734785.92201284808')
(17, '69.6', '2009.4', '2013.3', 'Tue, 09 Oct 2012 22:08:11', '734785.92236041895')
(18, '69.6', '2004.7', '2011.0', 'Tue, 09 Oct 2012 22:08:41', '734785.92270776816')
(19, '69.6', '2002.5', '2007.3', 'Tue, 09 Oct 2012 22:09:11', '734785.92305526871')
(20, '69.6', '1999.0', '2005.8', 'Tue, 09 Oct 2012 22:09:41', '734785.92340278055')
(21, '69.8', '1996.6', '2002.4', 'Tue, 09 Oct 2012 22:10:12', '734785.92375030403')
(22, '70.0', '1993.6', '2001.1', 'Tue, 09 Oct 2012 22:10:42', '734785.92409783823')
(23, '69.8', '1991.4', '1997.2', 'Tue, 09 Oct 2012 22:11:12', '734785.92444537336')
(24, '69.8', '1989.2', '1995.7', 'Tue, 09 Oct 2012 22:11:42', '734785.92479287309')
(25, '69.8', '1988.4', '1994.2', 'Tue, 09 Oct 2012 22:12:12', '734785.92514040810')
(26, '69.8', '1986.2', '1992.0', 'Tue, 09 Oct 2012 22:12:42', '734785.92548783903')
(27, '69.8', '1984.7', '1990.5', 'Tue, 09 Oct 2012 22:13:12', '734785.92583536252')
(28, '69.8', '1983.3', '1989.8', 'Tue, 09 Oct 2012 22:13:42', '734785.92618288496')
(29, '69.8', '1981.8', '1986.8', 'Tue, 09 Oct 2012 22:14:12', '734785.92653039680')
(30, '69.8', '1980.3', '1986.1', 'Tue, 09 Oct 2012 22:14:42', '734785.92687793192')
(31, '69.8', '1978.1', '1984.6', 'Tue, 09 Oct 2012 22:15:12', '734785.92722546658')
(32, '69.8', '1975.1', '1983.1', 'Tue, 09 Oct 2012 22:15:42', '734785.92757297808')
(33, '70.0', '1973.7', '1981.1', 'Tue, 09 Oct 2012 22:16:12', '734785.92792048992')
(34, '70.0', '1972.4', '1981.1', 'Tue, 09 Oct 2012 22:16:42', '734785.92826803587')
(35, '70.2', '1969.4', '1979.2', 'Tue, 09 Oct 2012 22:17:12', '734785.92861554842')
(36, '70.2', '1966.7', '1976.9', 'Tue, 09 Oct 2012 22:17:42', '734785.92896309390')
(37, '70.5', '1965.3', '1974.2', 'Tue, 09 Oct 2012 22:18:12', '734785.92931060609')
(38, '70.5', '1968.4', '1973.5', 'Tue, 09 Oct 2012 22:18:42', '734785.92965812958')
