Log Date and Time Tue, 09 Oct 2012 21:14:08
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '51.8', '195.0', '209.5', 'Tue, 09 Oct 2012 09:34:04', '734785.41429565998')
(1, '51.8', '195.0', '209.5', 'Tue, 09 Oct 2012 09:34:34', '734785.41464320361')
(2, '51.8', '195.7', '210.0', 'Tue, 09 Oct 2012 09:35:04', '734785.41499071592')
(3, '51.8', '195.7', '210.7', 'Tue, 09 Oct 2012 09:35:34', '734785.41533801879')
(4, '32.0', '196.3', '211.4', 'Tue, 09 Oct 2012 09:36:04', '734785.41568556509')
(5, '51.8', '196.3', '211.4', 'Tue, 09 Oct 2012 09:36:34', '734785.41603306553')
(6, '51.8', '197.7', '212.0', 'Tue, 09 Oct 2012 09:37:04', '734785.41638060054')
(7, '32.0', '199.0', '213.4', 'Tue, 09 Oct 2012 09:37:34', '734785.41672813531')
(8, '51.8', '200.4', '214.8', 'Tue, 09 Oct 2012 09:38:04', '734785.41707565868')
(9, '51.8', '202.6', '215.4', 'Tue, 09 Oct 2012 09:38:34', '734785.41742316971')
(10, '52.0', '203.8', '216.1', 'Tue, 09 Oct 2012 09:39:04', '734785.41777068225')
(11, '51.8', '205.1', '218.2', 'Tue, 09 Oct 2012 09:39:34', '734785.41811822797')
(12, '51.8', '207.2', '219.5', 'Tue, 09 Oct 2012 09:40:04', '734785.41846574016')
(13, '51.8', '208.5', '220.2', 'Tue, 09 Oct 2012 09:40:34', '734785.41881327506')
(14, '51.8', '209.9', '221.6', 'Tue, 09 Oct 2012 09:41:04', '734785.41916078259')
(15, '51.8', '212.6', '222.9', 'Tue, 09 Oct 2012 09:41:34', '734785.41950830992')
(16, '51.8', '213.3', '224.3', 'Tue, 09 Oct 2012 09:42:04', '734785.41985582141')
(17, '52.0', '214.7', '225.9', 'Tue, 09 Oct 2012 09:42:34', '734785.42020337877')
(18, '51.8', '216.2', '226.3', 'Tue, 09 Oct 2012 09:43:04', '734785.42055090249')
(19, '51.8', '217.6', '227.7', 'Tue, 09 Oct 2012 09:43:34', '734785.42089841422')
(20, '52.0', '218.3', '229.3', 'Tue, 09 Oct 2012 09:44:04', '734785.42124594934')
(21, '52.0', '219.6', '230.6', 'Tue, 09 Oct 2012 09:44:34', '734785.42159347201')
(22, '52.0', '221.0', '231.3', 'Tue, 09 Oct 2012 09:45:04', '734785.42194100702')
(23, '52.0', '221.7', '232.7', 'Tue, 09 Oct 2012 09:45:34', '734785.42228836776')
(24, '52.2', '222.4', '233.4', 'Tue, 09 Oct 2012 09:46:04', '734785.42263589147')
(25, '52.2', '223.7', '235.5', 'Tue, 09 Oct 2012 09:46:34', '734785.42298341531')
(26, '52.2', '223.0', '236.1', 'Tue, 09 Oct 2012 09:47:04', '734785.42333094985')
(27, '52.2', '222.4', '236.8', 'Tue, 09 Oct 2012 09:47:34', '734785.42367846088')
(28, '52.2', '223.0', '237.5', 'Tue, 09 Oct 2012 09:48:04', '734785.42402599589')
(29, '52.2', '223.7', '238.2', 'Tue, 09 Oct 2012 09:48:34', '734785.42437350773')
(30, '52.5', '224.6', '238.7', 'Tue, 09 Oct 2012 09:49:04', '734785.42472105427')
(31, '52.2', '225.3', '239.6', 'Tue, 09 Oct 2012 09:49:34', '734785.42506857729')
(32, '52.5', '225.8', '240.2', 'Tue, 09 Oct 2012 09:50:04', '734785.42541606608')
(33, '32.0', '227.4', '240.2', 'Tue, 09 Oct 2012 09:50:34', '734785.42576357734')
(34, '32.0', '228.7', '240.9', 'Tue, 09 Oct 2012 09:51:04', '734785.42611108883')
(35, '32.0', '228.7', '241.6', 'Tue, 09 Oct 2012 09:51:34', '734785.42645864724')
(36, '32.0', '229.4', '243.0', 'Tue, 09 Oct 2012 09:52:04', '734785.42680617026')
(37, '32.0', '230.8', '243.0', 'Tue, 09 Oct 2012 09:52:34', '734785.42715365824')
(38, '32.0', '231.5', '243.7', 'Tue, 09 Oct 2012 09:53:04', '734785.42750119336')
(39, '32.0', '232.1', '244.4', 'Tue, 09 Oct 2012 09:53:35', '734785.42784871627')
(40, '32.0', '233.5', '245.3', 'Tue, 09 Oct 2012 09:54:05', '734785.42819625174')
(41, '32.0', '234.2', '245.9', 'Tue, 09 Oct 2012 09:54:35', '734785.42854376312')
(42, '53.1', '234.9', '246.7', 'Tue, 09 Oct 2012 09:55:05', '734785.42889129755')
(43, '32.0', '234.9', '246.7', 'Tue, 09 Oct 2012 09:55:35', '734785.42923880985')
(44, '53.4', '235.6', '247.3', 'Tue, 09 Oct 2012 09:56:05', '734785.42958633276')
(45, '53.4', '236.3', '248.0', 'Tue, 09 Oct 2012 09:56:35', '734785.42993385589')
(46, '53.4', '236.9', '248.7', 'Tue, 09 Oct 2012 09:57:05', '734785.43028139067')
(47, '53.1', '237.6', '249.4', 'Tue, 09 Oct 2012 09:57:35', '734785.43062891380')
(48, '53.1', '237.6', '249.4', 'Tue, 09 Oct 2012 09:58:05', '734785.43097643752')
(49, '53.1', '238.3', '250.3', 'Tue, 09 Oct 2012 09:58:35', '734785.43132394913')
(50, '53.1', '238.5', '250.3', 'Tue, 09 Oct 2012 09:59:05', '734785.43167148402')
(51, '53.1', '239.2', '251.7', 'Tue, 09 Oct 2012 09:59:35', '734785.43201906478')
(52, '53.1', '240.6', '251.0', 'Tue, 09 Oct 2012 10:00:05', '734785.43236658734')
(53, '53.1', '240.6', '251.7', 'Tue, 09 Oct 2012 10:00:35', '734785.43271386786')
(54, '53.1', '241.5', '252.6', 'Tue, 09 Oct 2012 10:01:05', '734785.43306140287')
(55, '53.1', '241.5', '252.6', 'Tue, 09 Oct 2012 10:01:35', '734785.43340865977')
(56, '53.1', '242.2', '253.3', 'Tue, 09 Oct 2012 10:02:05', '734785.43375620665')
(57, '53.1', '243.1', '254.0', 'Tue, 09 Oct 2012 10:02:35', '734785.43410371779')
(58, '53.1', '243.5', '254.9', 'Tue, 09 Oct 2012 10:03:05', '734785.43445126410')
(59, '53.1', '244.4', '256.2', 'Tue, 09 Oct 2012 10:03:35', '734785.43479878770')
(60, '53.1', '245.8', '257.6', 'Tue, 09 Oct 2012 10:04:05', '734785.43514631165')
(61, '53.1', '246.5', '259.0', 'Tue, 09 Oct 2012 10:04:35', '734785.43549384584')
(62, '53.4', '247.9', '261.1', 'Tue, 09 Oct 2012 10:05:05', '734785.43584135710')
(63, '53.1', '248.6', '261.8', 'Tue, 09 Oct 2012 10:05:35', '734785.43618888082')
(64, '53.1', '249.9', '264.1', 'Tue, 09 Oct 2012 10:06:05', '734785.43653653911')
(65, '53.4', '250.8', '264.7', 'Tue, 09 Oct 2012 10:06:35', '734785.43688397284')
(66, '53.4', '251.5', '266.1', 'Tue, 09 Oct 2012 10:07:05', '734785.43723147782')
(67, '53.4', '252.9', '267.7', 'Tue, 09 Oct 2012 10:07:35', '734785.43757881504')
(68, '53.4', '253.6', '269.1', 'Tue, 09 Oct 2012 10:08:05', '734785.43792604795')
(69, '53.4', '254.5', '270.5', 'Tue, 09 Oct 2012 10:08:35', '734785.43827339972')
