Log Date and Time Sun, 18 May 2008 19:14:00
Ambient Kiln Date Date2Num

(0, '76.55', '76.55', 'Sun, 18 May 2008 19:08:50', '733180.79780581419')
(1, '76.32', '76.32', 'Sun, 18 May 2008 19:08:53', '733180.79784061783')
(2, '76.32', '76.32', 'Sun, 18 May 2008 19:08:56', '733180.79787525092')
(3, '76.55', '76.55', 'Sun, 18 May 2008 19:08:59', '733180.79791005689')
(4, '76.32', '76.32', 'Sun, 18 May 2008 19:09:02', '733180.79794467846')
(5, '76.32', '76.32', 'Sun, 18 May 2008 19:09:05', '733180.79797949607')
(6, '76.32', '76.32', 'Sun, 18 May 2008 19:09:08', '733180.79801411787')
(7, '76.32', '76.32', 'Sun, 18 May 2008 19:09:11', '733180.79804893513')
(8, '76.32', '76.32', 'Sun, 18 May 2008 19:09:14', '733180.79808355658')
(9, '76.32', '76.32', 'Sun, 18 May 2008 19:09:17', '733180.79811837373')
(10, '76.32', '76.32', 'Sun, 18 May 2008 19:09:20', '733180.79815299588')
(11, '76.32', '76.32', 'Sun, 18 May 2008 19:09:23', '733180.79818781302')
(12, '76.32', '76.32', 'Sun, 18 May 2008 19:09:26', '733180.79822243424')
(13, '76.32', '76.32', 'Sun, 18 May 2008 19:09:29', '733180.79825725255')
(14, '76.32', '76.32', 'Sun, 18 May 2008 19:09:32', '733180.79829187354')
(15, '76.32', '76.32', 'Sun, 18 May 2008 19:09:35', '733180.79832669138')
(16, '76.32', '76.32', 'Sun, 18 May 2008 19:09:38', '733180.79836131295')
(17, '76.32', '76.32', 'Sun, 18 May 2008 19:09:41', '733180.79839613033')
(18, '76.32', '76.32', 'Sun, 18 May 2008 19:09:44', '733180.79843075213')
(19, '76.32', '76.32', 'Sun, 18 May 2008 19:09:47', '733180.79846556985')
(20, '76.32', '76.32', 'Sun, 18 May 2008 19:09:50', '733180.79850019130')
(21, '76.32', '76.32', 'Sun, 18 May 2008 19:09:53', '733180.79853500868')
(22, '76.10', '76.10', 'Sun, 18 May 2008 19:09:56', '733180.79856963013')
(23, '76.10', '76.10', 'Sun, 18 May 2008 19:09:59', '733180.79860443622')
(24, '76.10', '76.10', 'Sun, 18 May 2008 19:10:02', '733180.79863925406')
(25, '76.10', '76.10', 'Sun, 18 May 2008 19:10:05', '733180.79867387563')
(26, '76.10', '76.10', 'Sun, 18 May 2008 19:10:08', '733180.79870869336')
