Log Date and Time Sun, 01 Aug 2010 06:43:55
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '1034.1', '32.0', 'Sat, 31 Jul 2010 21:24:46', '733984.89220804733')
(1, '32.0', '1011.2', '32.0', 'Sat, 31 Jul 2010 21:25:16', '733984.89255495090')
(2, '32.0', '984.5', '32.0', 'Sat, 31 Jul 2010 21:25:46', '733984.89290231210')
(3, '32.0', '984.2', '32.0', 'Sat, 31 Jul 2010 21:26:16', '733984.89324948774')
(4, '32.0', '983.8', '32.0', 'Sat, 31 Jul 2010 21:26:46', '733984.89359684917')
(5, '32.0', '994.7', '32.0', 'Sat, 31 Jul 2010 21:27:16', '733984.89394402539')
(6, '32.0', '1077.5', '32.0', 'Sat, 31 Jul 2010 21:27:46', '733984.89429138647')
(7, '32.0', '1099.0', '32.0', 'Sat, 31 Jul 2010 21:28:16', '733984.89463856246')
(8, '32.0', '1039.9', '32.0', 'Sat, 31 Jul 2010 21:28:46', '733984.89498592354')
(9, '32.0', '979.8', '32.0', 'Sat, 31 Jul 2010 21:29:16', '733984.89533309918')
(10, '32.0', '927.5', '32.0', 'Sat, 31 Jul 2010 21:29:46', '733984.89568046050')
(11, '32.0', '978.9', '32.0', 'Sat, 31 Jul 2010 21:30:16', '733984.89602763695')
(12, '32.0', '1098.1', '32.0', 'Sat, 31 Jul 2010 21:30:46', '733984.89637499780')
(13, '32.0', '1173.5', '32.0', 'Sat, 31 Jul 2010 21:31:16', '733984.89672217378')
(14, '32.0', '1143.7', '32.0', 'Sat, 31 Jul 2010 21:31:46', '733984.89706953510')
(15, '32.0', '1085.6', '32.0', 'Sat, 31 Jul 2010 21:32:16', '733984.89741671039')
(16, '32.0', '1037.5', '32.0', 'Sat, 31 Jul 2010 21:32:46', '733984.89776402572')
(17, '32.0', '1000.1', '32.0', 'Sat, 31 Jul 2010 21:33:16', '733984.89811138681')
(18, '32.0', '974.7', '32.0', 'Sat, 31 Jul 2010 21:33:46', '733984.89845856314')
(19, '32.0', '1042.9', '32.0', 'Sat, 31 Jul 2010 21:34:16', '733984.89880592376')
(20, '32.0', '1163.8', '32.0', 'Sat, 31 Jul 2010 21:34:46', '733984.89915310254')
(21, '32.0', '1176.1', '32.0', 'Sat, 31 Jul 2010 21:35:16', '733984.89950046106')
(22, '32.0', '1147.2', '32.0', 'Sat, 31 Jul 2010 21:35:46', '733984.89984763693')
(23, '32.0', '1113.2', '32.0', 'Sat, 31 Jul 2010 21:36:16', '733984.90019504714')
(24, '32.0', '1074.1', '32.0', 'Sat, 31 Jul 2010 21:36:46', '733984.90054217423')
