Log Date and Time Sun, 30 Oct 2011 21:31:11
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '59.2', '474.4', '375.7', 'Wed, 26 Oct 2011 22:15:17', '734436.92728098319')
(1, '59.2', '475.1', '375.7', 'Wed, 26 Oct 2011 22:15:47', '734436.92762850330')
(2, '59.0', '476.5', '376.9', 'Wed, 26 Oct 2011 22:16:17', '734436.92797573761')
(3, '59.0', '477.9', '376.9', 'Wed, 26 Oct 2011 22:16:47', '734436.92832300602')
(4, '59.0', '480.0', '377.6', 'Wed, 26 Oct 2011 22:17:17', '734436.92867028632')
(5, '59.0', '482.1', '379.0', 'Wed, 26 Oct 2011 22:17:47', '734436.92901752039')
(6, '58.8', '484.8', '379.5', 'Wed, 26 Oct 2011 22:18:17', '734436.92936474236')
(7, '58.8', '486.7', '380.2', 'Wed, 26 Oct 2011 22:18:47', '734436.92971225502')
(8, '58.8', '488.3', '381.6', 'Wed, 26 Oct 2011 22:19:17', '734436.93005948886')
(9, '58.8', '488.3', '381.6', 'Wed, 26 Oct 2011 22:19:47', '734436.93040671072')
(10, '58.5', '489.4', '382.1', 'Wed, 26 Oct 2011 22:20:17', '734436.93075413001')
(11, '58.5', '490.1', '382.1', 'Wed, 26 Oct 2011 22:20:47', '734436.93110162951')
(12, '58.5', '491.5', '382.8', 'Wed, 26 Oct 2011 22:21:17', '734436.93144915299')
(13, '58.5', '492.9', '383.5', 'Wed, 26 Oct 2011 22:21:47', '734436.93179667636')
(14, '58.3', '494.7', '384.0', 'Wed, 26 Oct 2011 22:22:17', '734436.93214419961')
(15, '58.3', '496.8', '385.4', 'Wed, 26 Oct 2011 22:22:47', '734436.93249172275')
(16, '58.3', '497.5', '386.1', 'Wed, 26 Oct 2011 22:23:17', '734436.93283917638')
(17, '58.1', '498.9', '385.9', 'Wed, 26 Oct 2011 22:23:47', '734436.93318668846')
(18, '58.1', '499.6', '387.3', 'Wed, 26 Oct 2011 22:24:17', '734436.93353421171')
(19, '58.1', '499.4', '387.3', 'Wed, 26 Oct 2011 22:24:47', '734436.93388173485')
(20, '58.1', '498.7', '387.3', 'Wed, 26 Oct 2011 22:25:17', '734436.93422925263')
(21, '58.1', '496.6', '386.6', 'Wed, 26 Oct 2011 22:25:47', '734436.93457678100')
(22, '57.9', '494.5', '387.1', 'Wed, 26 Oct 2011 22:26:17', '734436.93492430449')
(23, '57.9', '493.6', '385.7', 'Wed, 26 Oct 2011 22:26:47', '734436.93527182809')
(24, '57.6', '494.3', '386.1', 'Wed, 26 Oct 2011 22:27:17', '734436.93561936263')
(25, '57.6', '494.3', '386.9', 'Wed, 26 Oct 2011 22:27:47', '734436.93596667715')
(26, '57.6', '495.7', '386.9', 'Wed, 26 Oct 2011 22:28:17', '734436.93631418922')
(27, '57.6', '496.9', '388.3', 'Wed, 26 Oct 2011 22:28:47', '734436.93666149268')
(28, '57.6', '498.4', '388.3', 'Wed, 26 Oct 2011 22:29:17', '734436.93700903864')
(29, '57.4', '498.2', '388.7', 'Wed, 26 Oct 2011 22:29:47', '734436.93735629576')
(30, '57.6', '497.0', '389.0', 'Wed, 26 Oct 2011 22:30:17', '734436.93770380807')
